"year","last_name, first_name","pitcher_id","team_name","team_name_abbrev","pitch_hand","avg_speed","pitches_thrown","total_pitches","pitches_per_game","pitch_per","pitch_type","pitch_type_name","pitcher_break_z","league_break_z","diff_z","rise","pitcher_break_x","league_break_x","diff_x","tail","percent_rank_diff_z","percent_rank_diff_x"
"2023","Singer, Brady","663903","Royals","KC","R",92.1,"1331","2612",16.123456790123456,0.5095712098009189,"SI","Sinker",22.6,-25,-2.4,"-10",12.9,-15.1,-2.1,"-14",0.18248175182481752,0.10583941605839416
"2023","Webb, Logan","657277","Giants","SF","R",87.5,"1324","3182",19.641975308641975,0.41609050911376494,"CH","Changeup",40,-33.8,6.3,"18",11.3,-14.3,-3,"-21",0.9781021897810219,0.072992700729927
"2023","Verlander, Justin","434378","Astros","HOU","R",94.3,"1302","2602",16.061728395061728,0.5003843197540354,"FF","4-Seam Fastball",12.2,-13.4,1.2,"9",8,-6,2,"32",0.7892156862745098,0.75
"2023","Nelson, Ryne","669194","D-backs","AZ","R",94.4,"1285","2355",14.537037037037036,0.5456475583864119,"FF","4-Seam Fastball",12.6,-14.6,2,"13",4.1,-6.8,-2.7,"-40",0.9142156862745098,0.1568627450980392
"2023","Kikuchi, Yusei","579328","Blue Jays","TOR","L",95.1,"1269","2818",17.395061728395063,0.45031937544357703,"FF","4-Seam Fastball",14.2,-15.3,1,"7",9.8,-8.4,1.4,"17",0.7328431372549019,0.6666666666666666
"2023","Cease, Dylan","656302","White Sox","CWS","R",86.3,"1260","3262",20.135802469135804,0.38626609442060084,"SL","Slider",34.7,-35.1,-0.4,"-1",2.5,4.6,-2,"-45",0.4603174603174603,0.28888888888888886
"2023","Brown, Hunter","686613","Astros","HOU","R",95.7,"1253","2720",16.790123456790123,0.4606617647058823,"FF","4-Seam Fastball",13.1,-13.6,0.5,"4",6.1,-6.9,-0.8,"-12",0.6299019607843137,0.3627450980392157
"2023","Megill, Tylor","656731","Mets","NYM","R",94.9,"1245","2235",13.796296296296296,0.5570469798657718,"FF","4-Seam Fastball",15.7,-14.1,-1.5,"-11",7.8,-6.9,0.9,"13",0.23529411764705882,0.5882352941176471
"2023","Montgomery, Jordan","656756","Rangers","TEX","L",93.3,"1240","2920",18.02469135802469,0.4246575342465753,"SI","Sinker",20.9,-20.9,0,"0",15.4,-14.5,1,"7",0.5437956204379562,0.6824817518248175
"2023","Bassitt, Chris","605135","Blue Jays","TOR","R",91.9,"1234","3139",19.376543209876544,0.39311882765211853,"SI","Sinker",23.8,-24.2,-0.3,"-1",15.9,-15.1,0.8,"6",0.4781021897810219,0.635036496350365
