"","term","estimate","std.error","statistic","p.value","Response","pitch","type"
"96","zone8",0.0523631109487246,0.0972601892312124,0.53838175066927,0.590313522698362,"strike","slider","complex"
"97","zone9",0.130241893593727,0.103976324906349,1.25261105074676,0.210347291193524,"strike","slider","complex"
"98","zone11",-0.459382642815602,0.212074539379271,-2.16613764273725,0.0303006704639133,"strike","slider","complex"
"99","zone12",-0.446451755028771,0.146122455142089,-3.05532612762798,0.0022481591411212,"strike","slider","complex"
"100","zone13",-0.487255502511507,0.166284313876777,-2.93025536294772,0.0033868355327443,"strike","slider","complex"
"101","zone14",-0.162796049077365,0.126619778471008,-1.28570789684836,0.198545024215977,"strike","slider","complex"
"102","zone16",-1.80640227403861,1.03557476680497,-1.74434751786378,0.0810985105119266,"strike","slider","complex"
"103","zone17",-0.261121996873883,0.170998261070597,-1.52704475027426,0.126749884004609,"strike","slider","complex"
"104","count_sFull",-0.157837340753285,0.0910855971114812,-1.73284630895162,0.0831229894129057,"strike","slider","complex"
"105","count_sHitter",0.463105202106676,0.0511805141484984,9.04846717176371,0.000000000000000000144989251515956,"strike","slider","complex"
"106","count_sPitcher",-0.0932506507116833,0.0450627877651907,-2.06934935312004,0.0385133155037214,"strike","slider","complex"
"107","pfx_total",-0.518809496904997,0.114411629068617,-4.53458709685751,0.00000577162819958643,"strike","slider","complex"
"108","break_change",0.288922431878254,0.117339788356527,2.4622716294697,0.0138060063333475,"strike","slider","complex"
"109","distance",0.838506687917484,0.132572751938362,6.32487955222756,0.000000000253430185640568,"strike","slider","complex"
"110","prev_pitchFastball",-0.149420471482379,0.0373462803393096,-4.00094655009331,0.0000630896086983998,"strike","slider","complex"
"111","prev_pitchNone",0.594262513797502,0.0504420962366177,11.7810828283164,0.0000000000000000000000000000000488613051841828,"strike","slider","complex"
"112","prev_pitchOff Speed",-0.0750941602386425,0.0833067469982643,-0.901417507518413,0.367366376243985,"strike","slider","complex"
"113","speed_fb_diff",-0.0530452464705751,0.00805446047220343,-6.58582243387231,0.000000000045237421005889,"strike","slider","complex"
"114","release_spin_rate",0.000374455899980723,0.0000734619114995508,5.09727956075595,0.00000034456929103942,"strike","slider","complex"
"115","I(plate_x^2)",-0.902949338243696,0.0619353183733094,-14.5789084799928,0.00000000000000000000000000000000000000000000000382584829464744,"strike","slider","complex"
"116","I(plate_z^2)",-0.56083908768463,0.0489060773751543,-11.4676767752703,0.00000000000000000000000000000191737881076246,"strike","slider","complex"
"117","(Intercept)",-10.0195987412957,0.59247854006336,-16.9113276916733,0.000000000000000000000000000000000000000000000000000000000000000371248787538973,"strike","fastball","complex"
"118","pitch_speed",0.0237724153266515,0.00499254999034021,4.76157782548945,0.00000192085194163564,"strike","fastball","complex"
"119","pfx_x",0.184361601013165,0.0566794143293092,3.25270829267957,0.00114310781350174,"strike","fastball","complex"
"120","pfx_z",-0.315098223897656,0.0764185613873116,-4.12332054120525,0.0000373449435416706,"strike","fastball","complex"
"121","plate_x",0.373899913849236,0.0477459941038791,7.8310216567228,0.00000000000000483921299627808,"strike","fastball","complex"
"122","plate_z",5.09165837548513,0.274861487809762,18.5244517740848,0.000000000000000000000000000000000000000000000000000000000000000000000000000131131987985095,"strike","fastball","complex"
"123","zone1",0.123715252757697,0.0825816753380055,1.49809570042425,0.134108388030719,"strike","fastball","complex"
"124","zone2",-0.0204822397121696,0.0655857454730224,-0.312297124389547,0.754814725252737,"strike","fastball","complex"
"125","zone3",0.437332748597447,0.0757542670542243,5.77304441853299,0.00000000778519080389619,"strike","fastball","complex"
"126","zone4",-0.0766334790663263,0.069808478623014,-1.09776750013661,0.272306026338594,"strike","fastball","complex"
"127","zone6",0.654716830131801,0.060085473539353,10.8964245692928,0.00000000000000000000000000119875714216816,"strike","fastball","complex"
"128","zone7",0.944748090224658,0.0897659485164806,10.5245709073213,0.0000000000000000000000000665640333704598,"strike","fastball","complex"
"129","zone8",0.709725230538235,0.0700504424483227,10.1316309466826,0.00000000000000000000000399922460079787,"strike","fastball","complex"
"130","zone9",1.36380395337067,0.0795883912529933,17.1357145420297,0.00000000000000000000000000000000000000000000000000000000000000000803595945567938,"strike","fastball","complex"
"131","zone11",0.0547643348174829,0.101294491996295,0.540644745219573,0.588752470340495,"strike","fastball","complex"
