"term","estimate","std.error","statistic","p.value","Response","BHand","Pitch"
"zone6",0.119484205033809,0.290325347418132,0.411552784131266,0.680667245023267,"benefit","R","FC"
"zone7",-0.475957617554929,0.317336340235465,-1.49985222997709,0.133652684416264,"benefit","R","FC"
"zone8",-0.514553170836448,0.265448472493093,-1.93842957920896,0.0525708345962499,"benefit","R","FC"
"zone9",0.311147187219686,0.345584727754816,0.900349935140761,0.367934054860512,"benefit","R","FC"
"zone11",-0.953337394079742,0.346377521206445,-2.75230734015081,0.00591769547658979,"benefit","R","FC"
"zone12",-0.646568027696873,0.374957159937978,-1.72437840046533,0.0846395542429445,"benefit","R","FC"
"zone13",-0.88066948128175,0.348348503315436,-2.5281276448726,0.011467265233579,"benefit","R","FC"
"zone14",-0.676713227917471,0.385767495701266,-1.75419970696938,0.0793962934290832,"benefit","R","FC"
"dist_x",0.485643256364058,0.105833784068106,4.58873563522529,0.00000445938743013113,"benefit","R","FC"
"dist_prop",2.71770960723711,0.509039494137702,5.33889735184659,0.0000000935135674407028,"benefit","R","FC"
"I(dist_x^2)",-1.68926588118359,0.173405308506719,-9.74171953402532,0.000000000000000000000200138646143112,"benefit","R","FC"
"I(dist_z^2)",-1.82515215713804,0.182153698949781,-10.0198467978475,0.0000000000000000000000124696084154988,"benefit","R","FC"
"pred",72.8991798755127,5.50545455283097,13.2412644906908,0.000000000000000000000000000000000000000506881615116297,"benefit","R","FC"
"(Intercept)",-19.7892290999859,2.60575696736192,-7.59442624460125,0.0000000000000309159177366655,"whiff","L","FC"
"pfx_z",0.0652739063986093,0.0294495492384659,2.21646538186571,0.0266596462214514,"whiff","L","FC"
"pfx_total",-0.103049872113222,0.0415425529035628,-2.48058592721643,0.0131166645122839,"whiff","L","FC"
"zone1",-1.76824833441902,0.826926909613917,-2.13833691207921,0.0324894087659018,"whiff","L","FC"
"zone2",-1.13146134082153,0.735129233876091,-1.53913256157114,0.123771937206755,"whiff","L","FC"
"zone3",-0.539934499378252,1.14078680445998,-0.473300091890389,0.635999096585271,"whiff","L","FC"
"zone4",-2.1751169650562,0.74520060712371,-2.91883412904294,0.0035134311940121,"whiff","L","FC"
"zone6",-15.2261892335882,648.87239765428,-0.0234656140230836,0.981278866962298,"whiff","L","FC"
"zone7",-1.89387695887772,0.793405542879386,-2.38702259629365,0.0169854472522482,"whiff","L","FC"
"zone8",-0.720243273300624,0.651827039641071,-1.10496071733573,0.26917661103576,"whiff","L","FC"
"zone9",0.613971821176996,0.988492799137281,0.621119164158654,0.534521220885192,"whiff","L","FC"
"zone11",-2.68139241430724,0.9931660849042,-2.69984291153668,0.00693722231775765,"whiff","L","FC"
"zone12",-0.847897919028888,1.37449519741208,-0.616879506472863,0.537314205080637,"whiff","L","FC"
"zone13",-1.74384566125843,0.946467802177564,-1.84247753304055,0.0654053298972628,"whiff","L","FC"
"zone14",-1.65065244669935,1.45778224703909,-1.13230384719803,0.257506713236997,"whiff","L","FC"
"dist_x",0.964925424141993,0.521158870981278,1.85149956734912,0.0640977169268968,"whiff","L","FC"
"dist_prop",2.83707901421954,1.20635456953348,2.35177872730791,0.0186838856829156,"whiff","L","FC"
"I(dist_x^2)",-1.17715405923055,0.328693346602458,-3.58131392496444,0.00034187057935874,"whiff","L","FC"
"I(dist_z^2)",-0.904635985209395,0.32684014223166,-2.76782398585606,0.00564319240582677,"whiff","L","FC"
"release_spin_rate",0.00202899483365555,0.000727822960679331,2.78775875902807,0.00530740498757528,"whiff","L","FC"
"pred",137.599649645858,16.7964302870047,8.19219603776867,0.000000000000000256502396073944,"whiff","L","FC"
"(Intercept)",-23.7752706915578,4.68833301112617,-5.0711565571676,0.000000395405317954208,"barrel","L","FC"
"dist_x",-2.68218251468047,1.23173526419735,-2.17756411839706,0.02943850335628,"barrel","L","FC"
