"term","estimate","std.error","statistic","p.value","Response","BHand","Pitch"
"I(dist_z^2)",-0.926724378569982,0.119517796054656,-7.75386100783005,0.00000000000000891398919628679,"whiff","L","CU"
"release_spin_rate",0.000487302491020663,0.000127156578035442,3.8323026503972,0.000126949427915685,"whiff","L","CU"
"pred",62.0898977600113,3.9398654196674,15.7593956001809,0.0000000000000000000000000000000000000000000000000000000591963973251297,"whiff","L","CU"
"(Intercept)",-6.1795200472149,0.466432794785358,-13.2484681958493,0.000000000000000000000000000000000000000460506747456452,"barrel","L","CU"
"pfx_total",-0.06455875320371,0.0203620517926225,-3.17054262808135,0.00152154505959007,"barrel","L","CU"
"dist_z",-1.09092568729939,0.357261748105996,-3.05357540537959,0.00226131883499529,"barrel","L","CU"
"I(dist_x^2)",-1.6369979211218,0.304427943825773,-5.37729191528709,0.0000000756145236836451,"barrel","L","CU"
"I(dist_z^2)",-1.76624580032346,0.330365141397918,-5.34634432933725,0.0000000897483998575899,"barrel","L","CU"
"pred",328.802172962203,27.5831213871134,11.9204120645975,0.00000000000000000000000000000000926491630802712,"barrel","L","CU"
"(Intercept)",-8.14782216803484,1.11689807609067,-7.29504539622234,0.000000000000298558395189254,"benefit","L","CU"
"pitch_speed",-0.0126947177234877,0.00840714470376494,-1.50999158106589,0.131045572416397,"benefit","L","CU"
"pfx_total",-0.0150242037442889,0.00688289857874659,-2.18283090654299,0.0290482647416503,"benefit","L","CU"
"zone1",2.11386263072532,0.219084612684435,9.64861294832282,0.000000000000000000000498250721462987,"benefit","L","CU"
"zone2",1.27869092725433,0.223550712361898,5.71991434849155,0.0000000106577765171203,"benefit","L","CU"
"zone3",1.31486565192004,0.319085866699236,4.12072670444975,0.0000377679225139572,"benefit","L","CU"
"zone4",1.32369548763889,0.160614566424589,8.24144109158603,0.000000000000000170148701478006,"benefit","L","CU"
"zone6",0.43356714594486,0.167586034240264,2.58713172556649,0.00967785869296733,"benefit","L","CU"
"zone7",1.03226691961674,0.15706067391469,6.57240857235482,0.0000000000495077876508972,"benefit","L","CU"
