"","x","z","phand","response","bhand","pitch","pred"
"85",-2,-2.3,"right","barrel","left","changeup",-14.3665809987074
"86",-2,-2.3,"right","barrel","left","curveball",-13.3823028874097
"87",-2,-2.3,"right","barrel","left","cutter",-9.26198393137623
"88",-2,-2.3,"right","barrel","left","fastball",-9.21229217925908
"89",-2,-2.3,"right","barrel","left","sinker",-17.2700652768097
"90",-2,-2.3,"right","barrel","left","slider",-11.9591191829974
"91",-2,-2.3,"right","barrel","left","splitter",-15.5227638734188
"92",-2,-2.3,"right","barrel","right","changeup",-15.1703198136747
"93",-2,-2.3,"right","barrel","right","curveball",-21.4327940191913
"94",-2,-2.3,"right","barrel","right","cutter",-15.1557564014985
"95",-2,-2.3,"right","barrel","right","fastball",-10.4865500918618
"96",-2,-2.3,"right","barrel","right","sinker",-11.5280446271727
"97",-2,-2.3,"right","barrel","right","slider",-16.4040735452202
"98",-2,-2.3,"right","barrel","right","splitter",-20.1512312073138
"99",-2,-2.3,"right","benefit","left","changeup",-7.55833114650854
"100",-2,-2.3,"right","benefit","left","curveball",-4.7329934797616
"101",-2,-2.3,"right","benefit","left","cutter",-6.34003017490704
"102",-2,-2.3,"right","benefit","left","fastball",-10.6168709158945
"103",-2,-2.3,"right","benefit","left","sinker",-10.0495542734152
"104",-2,-2.3,"right","benefit","left","slider",-3.04215118713321
"105",-2,-2.3,"right","benefit","left","splitter",-6.71453236098077
"106",-2,-2.3,"right","benefit","right","changeup",-5.99811872340393
"107",-2,-2.3,"right","benefit","right","curveball",-3.95846861030101
"108",-2,-2.3,"right","benefit","right","cutter",-5.30632396360653
"109",-2,-2.3,"right","benefit","right","fastball",-10.5619969188804
"110",-2,-2.3,"right","benefit","right","sinker",-9.69574910034644
"111",-2,-2.3,"right","benefit","right","slider",-3.42938942634513
"112",-2,-2.3,"right","benefit","right","splitter",-4.73892424043578
"113",-2,-2.3,"right","whiff","left","changeup",-2.23233557076116
"114",-2,-2.3,"right","whiff","left","curveball",-0.842486369093015
"115",-2,-2.3,"right","whiff","left","cutter",-1.64070782580654
"116",-2,-2.3,"right","whiff","left","fastball",-10.1486033432026
"117",-2,-2.3,"right","whiff","left","sinker",-5.10496549384067
"118",-2,-2.3,"right","whiff","left","slider",0.708300083726419
"119",-2,-2.3,"right","whiff","left","splitter",-2.66947773005494
"120",-2,-2.3,"right","whiff","right","changeup",-3.36974774331223
"121",-2,-2.3,"right","whiff","right","curveball",-0.373006235905554
"122",-2,-2.3,"right","whiff","right","cutter",0.497678654856996
"123",-2,-2.3,"right","whiff","right","fastball",-8.81941578811051
"124",-2,-2.3,"right","whiff","right","sinker",-2.52308871144183
"125",-2,-2.3,"right","whiff","right","slider",0.484081496169892
"126",-2,-2.3,"right","whiff","right","splitter",-1.16362582758709
"127",-2,-2.2,"right","barrel","left","changeup",-13.6912990608532
"128",-2,-2.2,"right","barrel","left","curveball",-12.6965848459941
"129",-2,-2.2,"right","barrel","left","cutter",-8.69558774880352
"130",-2,-2.2,"right","barrel","left","fastball",-8.7098371350165
"131",-2,-2.2,"right","barrel","left","sinker",-16.4420422220179
"132",-2,-2.2,"right","barrel","left","slider",-11.2153704502881
"133",-2,-2.2,"right","barrel","left","splitter",-15.2078309707512
"134",-2,-2.2,"right","barrel","right","changeup",-14.6023536778316
"135",-2,-2.2,"right","barrel","right","curveball",-20.2541370329055
"136",-2,-2.2,"right","barrel","right","cutter",-14.4227131518873
"137",-2,-2.2,"right","barrel","right","fastball",-9.97800919454392
"138",-2,-2.2,"right","barrel","right","sinker",-10.9618731415142
"139",-2,-2.2,"right","barrel","right","slider",-15.4998591756737
"140",-2,-2.2,"right","barrel","right","splitter",-19.1703689723024
"141",-2,-2.2,"right","benefit","left","changeup",-7.23771657529422
"142",-2,-2.2,"right","benefit","left","curveball",-4.63504447580837
"143",-2,-2.2,"right","benefit","left","cutter",-5.98553891727232
"144",-2,-2.2,"right","benefit","left","fastball",-9.95693940931773
"145",-2,-2.2,"right","benefit","left","sinker",-9.45368539307502
"146",-2,-2.2,"right","benefit","left","slider",-2.91009950000345
"147",-2,-2.2,"right","benefit","left","splitter",-6.43660688504685
"148",-2,-2.2,"right","benefit","right","changeup",-5.65911289262595
"149",-2,-2.2,"right","benefit","right","curveball",-3.86789807893652
"150",-2,-2.2,"right","benefit","right","cutter",-5.02582111820513
"151",-2,-2.2,"right","benefit","right","fastball",-9.88235266562828
"152",-2,-2.2,"right","benefit","right","sinker",-9.09542670190605
"153",-2,-2.2,"right","benefit","right","slider",-3.27268236040571
"154",-2,-2.2,"right","benefit","right","splitter",-4.54568854311284
"155",-2,-2.2,"right","whiff","left","changeup",-1.94465487085553
"156",-2,-2.2,"right","whiff","left","curveball",-0.640177168185619
"157",-2,-2.2,"right","whiff","left","cutter",-1.45868219886093
"158",-2,-2.2,"right","whiff","left","fastball",-9.61414015711316
"159",-2,-2.2,"right","whiff","left","sinker",-4.84953431858667
"160",-2,-2.2,"right","whiff","left","slider",0.963320885161455
"161",-2,-2.2,"right","whiff","left","splitter",-2.27428203138735
"162",-2,-2.2,"right","whiff","right","changeup",-2.97808360114516
"163",-2,-2.2,"right","whiff","right","curveball",-0.226944490981742
"164",-2,-2.2,"right","whiff","right","cutter",0.733978941364692
"165",-2,-2.2,"right","whiff","right","fastball",-8.30039488586583
"166",-2,-2.2,"right","whiff","right","sinker",-2.39673499529601
"167",-2,-2.2,"right","whiff","right","slider",0.687915152551215
"168",-2,-2.2,"right","whiff","right","splitter",-0.799546615897329
"169",-2,-2.1,"right","barrel","left","changeup",-13.0460296535703
"170",-2,-2.1,"right","barrel","left","curveball",-12.0461917205849
"171",-2,-2.1,"right","barrel","left","cutter",-8.15640797290509
"172",-2,-2.1,"right","barrel","left","fastball",-8.22971342607359
"173",-2,-2.1,"right","barrel","left","sinker",-15.6536542332441
"174",-2,-2.1,"right","barrel","left","slider",-10.5087607958867
"175",-2,-2.1,"right","barrel","left","splitter",-14.8993143124169
"176",-2,-2.1,"right","barrel","right","changeup",-14.0596304813593
"177",-2,-2.1,"right","barrel","right","curveball",-19.1336232775994
