"","term","estimate","std.error","statistic","p.value","Response","Hand","Pitch"
"1","(Intercept)",-14.6937072802244,0.824888605652554,-17.8129594463248,0.0000000000000000000000000000000000000000000000000000000000000000000000560654551765574,"whiff","right","fastball"
"2","pitch_speed",0.09758457497898,0.00891112710863194,10.9508678071097,0.000000000000000000000000000658140321828777,"whiff","right","fastball"
"3","pfx_z",1.21654395025503,0.177893943628736,6.83859115965158,0.00000000000799757662938458,"whiff","right","fastball"
"4","pfx_total",-1.18413092775579,0.179652966721053,-6.59121276630176,0.0000000000436248161399886,"whiff","right","fastball"
"5","zone1",-0.112399891591532,0.154111110493896,-0.729343207191958,0.465791748601618,"whiff","right","fastball"
"6","zone2",-0.215319908520262,0.118056924958501,-1.82386512774198,0.0681724648319762,"whiff","right","fastball"
"7","zone3",-0.122579914125223,0.142105927750927,-0.862595361539547,0.388359981545447,"whiff","right","fastball"
"8","zone4",-0.469648440672561,0.146253360431529,-3.21119760453255,0.00132183006717062,"whiff","right","fastball"
"9","zone6",0.0242268286144956,0.119013443282196,0.203563798730289,0.838694385170159,"whiff","right","fastball"
"10","zone7",-0.445046218993418,0.275007363751263,-1.61830655340542,0.105596549079456,"whiff","right","fastball"
"11","zone8",0.0534661638138235,0.169731085898014,0.3150051361007,0.752757754204545,"whiff","right","fastball"
"12","zone9",-0.0469112909127816,0.192034490313426,-0.244285757398143,0.807009513341714,"whiff","right","fastball"
"13","zone11",0.262252185148907,0.174213058136507,1.5053532034517,0.132233293506078,"whiff","right","fastball"
"14","zone12",-0.139846747085854,0.166210149196902,-0.84138512456411,0.400132216198026,"whiff","right","fastball"
"15","zone13",0.291138456022607,0.29070405069776,1.00149432154043,0.31658788405098,"whiff","right","fastball"
"16","zone14",0.194354035520578,0.208433434097869,0.932451342855672,0.35110332144327,"whiff","right","fastball"
"17","dist_x",0.0741225733051065,0.0565402480278165,1.31097007690239,0.189867873341676,"whiff","right","fastball"
"18","dist_z",1.12481227715159,0.0953300932916008,11.7991311905145,0.0000000000000000000000000000000394361978955436,"whiff","right","fastball"
"19","dist_prop",0.805300160705514,0.259383591535337,3.10466886489928,0.00190492155564203,"whiff","right","fastball"
"20","I(dist_x^2)",-0.8307655649024,0.0969205262342865,-8.57161632505158,0.0000000000000000102042570713599,"whiff","right","fastball"
"21","I(dist_z^2)",-0.89509788542507,0.0985231182304515,-9.08515586495529,0.000000000000000000103550208501323,"whiff","right","fastball"
"22","release_spin_rate",0.000680645153420726,0.000135062673158475,5.0394763964289,0.00000046680719336201,"whiff","right","fastball"
"23","pred_bwhiff",17.7490682625436,0.754622748956513,23.5204521558446,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000251956258299206,"whiff","right","fastball"
"24","(Intercept)",3.66982760670642,1.65773141085364,2.21376489742488,0.0268449559719424,"barrel","right","fastball"
"25","pitch_speed",-0.0912908149759568,0.0176523710392962,-5.17158940137462,0.000000232111174004553,"barrel","right","fastball"
"26","dist_x",-0.0651440202632428,0.16194059584243,-0.402271091596011,0.687484527338801,"barrel","right","fastball"
"27","dist_z",0.313712105711507,0.206048270890053,1.52251753609184,0.127879454865081,"barrel","right","fastball"
"28","zone1",-0.0830040440079073,0.262956570348532,-0.315656855038422,0.752262978169906,"barrel","right","fastball"
"29","zone2",-0.104620211125179,0.181556721274425,-0.576239813050182,0.56445309815791,"barrel","right","fastball"
"30","zone3",-0.213036003708751,0.257780809342826,-0.826423053957566,0.408564150190476,"barrel","right","fastball"
"31","zone4",0.409838587832407,0.196003321531298,2.09097776828728,0.0365300569205656,"barrel","right","fastball"
"32","zone6",0.0442025503633218,0.185133715587679,0.238760131956556,0.811291586290066,"barrel","right","fastball"
"33","zone7",0.655365448436263,0.324029713058942,2.02254738384763,0.0431198336139284,"barrel","right","fastball"
"34","zone8",-0.22070781257471,0.266391367081757,-0.828509628493229,0.407381944337331,"barrel","right","fastball"
"35","zone9",-0.553493268036541,0.349160554685965,-1.58521133217454,0.112918326643733,"barrel","right","fastball"
"36","zone11",-0.0120488804069307,0.395527645823418,-0.0304628021180341,0.975697959213349,"barrel","right","fastball"
"37","zone12",0.350087444048966,0.361262835250473,0.969065760130686,0.332512379943112,"barrel","right","fastball"
"38","zone13",0.311346832860682,0.586208387780218,0.531119716726763,0.595335821973151,"barrel","right","fastball"
"39","zone14",-13.5269344425156,160.399726349754,-0.08433265286887,0.932791951628622,"barrel","right","fastball"
"40","I(dist_x^2)",-1.01288601830459,0.134352432116831,-7.53902257179688,0.0000000000000473507016526094,"barrel","right","fastball"
"41","I(dist_z^2)",-1.04477500654802,0.164367654789155,-6.35632970421229,0.000000000206631278261602,"barrel","right","fastball"
"42","pred_bbarrel",96.7864398406966,6.15945607051957,15.7134718930681,0.000000000000000000000000000000000000000000000000000000122294400639257,"barrel","right","fastball"
"43","(Intercept)",-5.16747753150524,0.275443619848589,-18.7605635387227,0.00000000000000000000000000000000000000000000000000000000000000000000000000000158707934227914,"strike","right","fastball"
"44","pfx_z",0.31186403744116,0.0577795290270922,5.39748320369539,0.0000000675821982487898,"strike","right","fastball"
"45","zone1",-0.72120168817902,0.106881257313716,-6.74769090769735,0.0000000000150216522362574,"strike","right","fastball"
"46","zone2",-0.692000313573632,0.0815558819233987,-8.48498351380214,0.0000000000000000215749318053167,"strike","right","fastball"
"47","zone3",-0.517692069589423,0.0968715131294523,-5.3441104909512,0.0000000908621337753828,"strike","right","fastball"
"48","zone4",-0.655001202490303,0.0920608383139123,-7.11487332167079,0.00000000000112015671934676,"strike","right","fastball"
"49","zone6",-0.109661727208244,0.079497436611992,-1.37943727347432,0.167759973681612,"strike","right","fastball"
"50","zone7",0.343977491432576,0.121371011047081,2.83409925043092,0.00459550568314681,"strike","right","fastball"
"51","zone8",0.2198784506299,0.0898668434441644,2.44671385132731,0.0144165244741841,"strike","right","fastball"
"52","zone9",0.558144258375118,0.104833205716327,5.32411705395549,0.000000101444569301363,"strike","right","fastball"
"53","zone11",-0.416732922770976,0.122458840609497,-3.40304481650186,0.000666393487542626,"strike","right","fastball"
"54","zone12",-0.863414479533234,0.112037450147511,-7.70648098824495,0.0000000000000129334495843541,"strike","right","fastball"
"55","zone13",-0.602688669140113,0.15915058660531,-3.78690824831683,0.00015253339141904,"strike","right","fastball"
"56","zone14",-0.823620147611067,0.120902381413626,-6.81227398485502,0.00000000000960679164565453,"strike","right","fastball"
"57","dist_x",0.251604641079702,0.0416585546765882,6.03968723910391,0.00000000154413236484472,"strike","right","fastball"
"58","dist_z",0.238003435724071,0.0448778575984787,5.30336001895374,0.000000113690389862649,"strike","right","fastball"
"59","dist_prop",3.31973962486123,0.184671851546019,17.976424653077,0.00000000000000000000000000000000000000000000000000000000000000000000000298106790335929,"strike","right","fastball"
"60","I(dist_x^2)",-1.85264115522001,0.0763662219712214,-24.259955611241,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000519153070160285,"strike","right","fastball"
"61","I(dist_z^2)",-1.87265063307837,0.0781119703286846,-23.9739264698933,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000520302942335391,"strike","right","fastball"
"62","release_spin_rate",0.000182890378797839,0.0000864537308247955,2.1154712127864,0.0343898059393202,"strike","right","fastball"
"63","pred_bstrike",9.2763859148989,0.575005070374744,16.1327028105218,0.00000000000000000000000000000000000000000000000000000000015029646451302,"strike","right","fastball"
"64","(Intercept)",-16.1669159224685,0.806265057211868,-20.0516142648859,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000195400884366601,"whiff","left","fastball"
"65","pitch_speed",0.0960827352714616,0.00861432319150983,11.153834507412,0.0000000000000000000000000000685856538012701,"whiff","left","fastball"
"66","pfx_total",0.788979604035362,0.0904960419777693,8.71838797357765,0.00000000000000000282190562458649,"whiff","left","fastball"
"67","zone1",0.0400411073963043,0.151438732514445,0.264404665381659,0.791468116956587,"whiff","left","fastball"
"68","zone2",-0.176371836714863,0.125978475714346,-1.40001564326578,0.161508634065759,"whiff","left","fastball"
"69","zone3",0.0307049037293083,0.160121782101696,0.191759692693198,0.847930445521435,"whiff","left","fastball"
"70","zone4",0.0896874328517089,0.129060780396135,0.694923992993262,0.48710293562146,"whiff","left","fastball"
"71","zone6",-0.318364966188341,0.152448844786673,-2.08833964359546,0.0367672077784296,"whiff","left","fastball"
"72","zone7",-0.182328606301304,0.225312900743528,-0.80922399782535,0.418386313674356,"whiff","left","fastball"
"73","zone8",0.0627728955835683,0.181214525068908,0.346401015921314,0.729041361725118,"whiff","left","fastball"
"74","zone9",0.0116515347836686,0.246413331800779,0.0472845145939127,0.962286469841446,"whiff","left","fastball"
"75","zone11",-0.00466340508755802,0.1729610976447,-0.0269621617292096,0.978489913617452,"whiff","left","fastball"
"76","zone12",0.281556735847094,0.179164914555029,1.57149482389654,0.116067755776885,"whiff","left","fastball"
"77","zone13",0.206298270496467,0.237243208344918,0.869564494324906,0.38453844829394,"whiff","left","fastball"
"78","zone14",1.00171782209875,0.267557840012166,3.74392999305572,0.00018116414958687,"whiff","left","fastball"
"79","dist_x",-0.340242749775103,0.0618553423460589,-5.50062026771373,0.0000000378457498835568,"whiff","left","fastball"
"80","dist_z",1.15008564456674,0.101677475553728,11.3111152524535,0.0000000000000000000000000000115610591460874,"whiff","left","fastball"
"81","dist_prop",1.28447086760912,0.271292985705106,4.73462616171481,0.00000219459226406793,"whiff","left","fastball"
"82","I(dist_x^2)",-1.19525583262123,0.102540505917655,-11.6564261305778,0.000000000000000000000000000000212787690656186,"whiff","left","fastball"
"83","I(dist_z^2)",-1.09155784260764,0.101821175205014,-10.7203422118221,0.00000000000000000000000000817004865224834,"whiff","left","fastball"
