year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2022,Corbin, Patrick,571578,Nationals,WSH,L,92.8,1186,2623,16.191358024691358,0.4521540221120854,SIFT,Sinker,19.9,-20.8,-0.8,-4,14.2,-14.1,0.1,1,0.4251968503937008,0.4881889763779528
2022,Greene, Hunter,668881,Reds,CIN,R,98.9,1182,2200,13.580246913580247,0.5372727272727272,FF,4-Seamer,12.1,-12.2,0.1,1,11.7,-8.3,3.4,41,0.5352798053527981,0.8588807785888077
2022,Lauer, Eric,641778,Brewers,MIL,L,93.3,1173,2676,16.51851851851852,0.4383408071748879,FF,4-Seamer,14.6,-15.1,0.5,3,9.8,-7.1,2.7,38,0.6034063260340633,0.7761557177615572
2022,Steele, Justin,657006,Cubs,CHC,L,92.2,1147,2032,12.54320987654321,0.5644685039370079,FF,4-Seamer,19.4,-15.5,-3.9,-25,1.6,-6.6,-8.2,-124,0.0364963503649635,0.0024330900243309003
2022,Bubic, Kris,663460,Royals,KC,L,91.9,1143,2262,13.962962962962964,0.5053050397877984,FF,4-Seamer,15.9,-16.1,0.2,1,7.7,-7.2,0.5,6,0.5547445255474452,0.5231143552311436
2022,Davies, Zach,605200,D-backs,AZ,R,89.5,1136,2292,14.148148148148149,0.4956369982547993,SIFT,Sinker,21.8,-25.2,-3.4,-14,14.9,-14.9,0,0,0.13385826771653545,0.46062992125984253
2022,Ray, Robbie,592662,Mariners,SEA,L,87.2,1133,3047,18.808641975308642,0.37184115523465705,SL,Slider,28.3,-33.5,-5.2,-16,1.5,4.3,-2.8,-66,0.028125,0.178125
2022,López, Pablo,641154,Marlins,MIA,R,93.6,1128,2910,17.962962962962962,0.38762886597938145,FF,4-Seamer,17.9,-15.5,-2.4,-16,4.5,-8.1,-3.6,-45,0.1411192214111922,0.1362530413625304
2022,Morton, Charlie,450203,Braves,ATL,R,81.3,1102,2903,17.919753086419753,0.37960730279021704,CUKC,Curveball,51.1,-48.7,2.4,5,15.5,10.3,5.2,50,0.7063829787234043,0.9319148936170213
2022,Mahle, Tyler,641816,Twins,MIN,R,93.2,1093,2101,12.969135802469136,0.5202284626368396,FF,4-Seamer,13.5,-15.5,2,13,10.2,-7.7,2.5,33,0.9148418491484185,0.7445255474452555
2022,Kaprielian, James,621076,Athletics,OAK,R,94,1090,2230,13.765432098765432,0.48878923766816146,FF,4-Seamer,15.5,-14.5,-1,-7,7.6,-6.9,0.7,10,0.34306569343065696,0.5401459854014599
2022,Cortes, Nestor,641482,Yankees,NYY,L,91.8,1079,2465,15.216049382716049,0.4377281947261663,FF,4-Seamer,12.7,-16,3.2,20,4.1,-7.1,-3,-42,0.9902676399026764,0.170316301703163
2022,Manoah, Alek,666201,Blue Jays,TOR,R,93.9,1056,2949,18.203703703703702,0.358087487283825,FF,4-Seamer,14.3,-14.6,0.3,2,5.5,-7.1,-1.5,-22,0.5717761557177615,0.2871046228710462
2022,Quantrill, Cal,615698,Guardians,CLE,R,88.5,1051,2920,18.02469135802469,0.3599315068493151,FC,Cutter,27.8,-27.1,-0.6,-2,2.7,3,-0.3,-10,0.4552238805970149,0.48507462686567165
2022,Pérez, Martín,527048,Rangers,TEX,L,92.6,1049,2979,18.38888888888889,0.3521315877811346,SIFT,Sinker,21.8,-23.5,-1.7,-7,16.4,-15.2,1.3,8,0.2874015748031496,0.7362204724409449
2022,Lynch IV, Daniel,663738,Royals,KC,L,94,1043,2435,15.030864197530864,0.4283367556468172,FF,4-Seamer,15.2,-14.5,-0.7,-5,6.8,-7.2,-0.3,-5,0.38686131386861317,0.40145985401459855
2022,Gray, Jon,592351,Rangers,TEX,R,95.9,1042,2062,12.728395061728396,0.5053346265761397,FF,4-Seamer,17.2,-14.4,-2.8,-20,11.4,-8.5,2.9,34,0.09732360097323602,0.8004866180048662
2022,Garcia, Luis,677651,Astros,HOU,R,94,1038,2468,15.234567901234568,0.4205834683954619,FF,4-Seamer,13.1,-14.3,1.3,9,7.5,-6.6,0.8,13,0.8029197080291971,0.5644768856447688
2022,Gonzales, Marco,594835,Mariners,SEA,L,88.5,1037,2838,17.51851851851852,0.3653981677237491,FF,4-Seamer,20.3,-18.1,-2.2,-12,12.2,-7.1,5.1,72,0.1654501216545012,0.9781021897810219
2022,Suárez, Ranger,624133,Phillies,PHI,L,92.5,1030,2564,15.82716049382716,0.4017160686427457,SIFT,Sinker,25.7,-22.3,3.3,15,16,-14.7,1.3,9,0.8779527559055118,0.7362204724409449
2022,Cobb, Alex,502171,Giants,SF,R,89.6,1028,2418,14.925925925925926,0.4251447477253929,FS,Splitter,32.2,-31.7,0.5,2,13,-12.3,0.7,6,0.6216216216216216,0.7027027027027027
2022,López, Pablo,641154,Marlins,MIA,R,87.5,1028,2910,17.962962962962962,0.3532646048109966,CH,Changeup,32.3,-30.5,1.8,6,17.3,-14.5,2.8,19,0.7212543554006968,0.9163763066202091
2022,Rogers, Trevor,669432,Marlins,MIA,L,94.6,1022,1940,11.975308641975309,0.5268041237113402,FF,4-Seamer,16.7,-14.6,-2,-14,12.6,-7.6,5,65,0.18491484184914841,0.9683698296836983
2022,Wood, Alex,622072,Giants,SF,L,92.4,1019,2239,13.820987654320987,0.4551138901295221,SIFT,Sinker,21.6,-25.8,-4.2,-16,15.6,-15.5,0.1,1,0.08267716535433071,0.4881889763779528
