"Name","pitch_type","p_throws","hitter","Pitches","Speed","Spin Rate","X Movement","Z Movement","Whiff Prop","Benefit Prop","Barrel Prop"
"A.J. Minter","FF","L","R",171,94.4923976608187,2417.16374269006,0.462514619883041,1.42315789473684,0.0760233918128655,0.584795321637427,0.00584795321637427
"A.J. Puk","FF","L","L",140,95.9007142857143,2294.45,0.922928571428571,1.19171428571429,0.114285714285714,0.485714285714286,0
"A.J. Puk","FF","L","R",366,95.4453551912568,2255.14207650273,0.881885245901639,1.19513661202186,0.150273224043716,0.532786885245902,0.00546448087431694
"A.J. Puk","SI","L","R",106,94.4820754716981,2142.80188679245,1.41235849056604,0.697358490566038,0.0471698113207547,0.632075471698113,0.00943396226415094
"A.J. Puk","SL","L","R",159,85.4075471698113,2264.7106918239,-0.433018867924528,-0.0491194968553459,0.226415094339623,0.578616352201258,0.0125786163522013
"A.J. Puk","ST","L","R",129,81.1519379844961,2287.08527131783,-1.05759689922481,0.171395348837209,0.10077519379845,0.457364341085271,0.0232558139534884
"Aaron Ashby","SI","L","R",140,96.085,2107.19285714286,1.19085714285714,0.686214285714286,0.0428571428571429,0.528571428571429,0.00714285714285714
"Aaron Bummer","SI","L","L",138,92.9478260869565,2182.81884057971,1.25021739130435,0.0210144927536232,0.0652173913043478,0.644927536231884,0.0072463768115942
"Aaron Bummer","SI","L","R",251,93.1884462151394,2192.2390438247,1.27900398406375,0.0299203187250996,0.0239043824701195,0.577689243027888,0
"Aaron Bummer","ST","L","L",148,82.1972972972973,2514.60810810811,-1.26135135135135,0.0160810810810811,0.175675675675676,0.445945945945946,0
"Aaron Bummer","ST","L","R",259,82.3972972972973,2496.84942084942,-1.25637065637066,-0.101621621621622,0.150579150579151,0.474903474903475,0.00386100386100386
"Aaron Civale","CU","R","L",255,77.0890196078431,3122.1062992126,1.10156862745098,-1.39588235294118,0.0901960784313726,0.513725490196078,0.00784313725490196
"Aaron Civale","CU","R","R",167,77.0664670658683,3127.10778443114,1.06011976047904,-1.45125748502994,0.0838323353293413,0.425149700598802,0.0179640718562874
"Aaron Civale","FC","R","L",567,88.1890652557319,2604.34159292035,0.305061728395062,0.638377425044092,0.0846560846560847,0.541446208112875,0.0158730158730159
"Aaron Civale","FC","R","R",302,88.005298013245,2614.00664451827,0.333377483443709,0.628145695364238,0.122516556291391,0.602649006622517,0.0165562913907285
"Aaron Civale","FF","R","L",131,92.1068702290076,2386.36641221374,-0.442290076335878,1.5130534351145,0.0229007633587786,0.419847328244275,0.0152671755725191
"Aaron Civale","FF","R","R",132,91.9560606060606,2390.80303030303,-0.388636363636364,1.55462121212121,0.0378787878787879,0.431818181818182,0
"Aaron Civale","SI","R","L",233,92.6583690987124,2233.92274678112,-1.16077253218884,1.03618025751073,0.0772532188841202,0.476394849785408,0.00429184549356223
"Aaron Civale","SI","R","R",419,92.6033412887828,2246.15311004785,-1.14968973747017,1.07505966587112,0.0381861575178998,0.529832935560859,0.00477326968973747
"Aaron Civale","ST","R","L",105,79.6333333333333,2983.71153846154,1.44904761904762,-0.21952380952381,0.123809523809524,0.59047619047619,0.0476190476190476
"Aaron Civale","ST","R","R",296,80.4422297297297,3002.17966101695,1.43733108108108,-0.178513513513514,0.138513513513513,0.503378378378378,0.0202702702702703
"Aaron Nola","CH","R","L",246,85.7833333333333,1560.90243902439,-1.2749593495935,0.27020325203252,0.0406504065040651,0.361788617886179,0.00813008130081301
"Aaron Nola","FC","R","L",117,87.8547008547009,2294.2905982906,-0.0854700854700855,0.694017094017094,0.0341880341880342,0.512820512820513,0.0341880341880342
"Aaron Nola","FC","R","R",177,87.2536723163842,2283.16949152542,-0.119209039548023,0.718135593220339,0.11864406779661,0.508474576271186,0.0112994350282486
"Aaron Nola","FF","R","L",521,92.5767754318618,2303.34740882917,-0.999520153550864,1.21614203454894,0.0633397312859884,0.508637236084453,0.0115163147792706
"Aaron Nola","FF","R","R",364,92.3739010989011,2313.84615384615,-0.995576923076923,1.22656593406593,0.115384615384615,0.461538461538461,0.0137362637362637
"Aaron Nola","KC","R","L",551,78.9676950998185,2598.15789473684,1.17526315789474,-0.810036297640653,0.154264972776769,0.566243194192377,0.0127041742286751
