"Name","pitch_type","p_throws","hitter","Pitches","Speed","Spin Rate","X Movement","Z Movement","Whiff Prop","Strike Prop","Barrel Prop","Good Outcome Prop"
"Aaron Ashby","CH","L","R",382,89.1335078534031,1783.7277486911,1.23324607329843,0.271439790575916,0.143979057591623,0.670157068062827,0.0104712041884817,0.541884816753927
"Aaron Ashby","CU","L","R",197,79.6893401015228,2598.05076142132,-0.643705583756345,-1.30081218274112,0.0761421319796954,0.65989847715736,0.0101522842639594,0.578680203045685
"Aaron Ashby","SI","L","L",165,95.9393939393939,2098.44242424242,1.30478787878788,0.798060606060606,0.0909090909090909,0.709090909090909,0.0121212121212121,0.587878787878788
"Aaron Ashby","SI","L","R",474,95.5586497890295,2088.45454545455,1.27316455696203,0.819451476793249,0.0780590717299578,0.639240506329114,0.0189873417721519,0.537974683544304
"Aaron Ashby","SL","L","L",181,83.6187845303867,2533.13259668508,-0.773977900552486,-0.19060773480663,0.149171270718232,0.569060773480663,0.00552486187845304,0.464088397790055
"Aaron Ashby","SL","L","R",368,83.4684782608696,2551.6485013624,-0.793586956521739,-0.279592391304348,0.14945652173913,0.652173913043478,0.016304347826087,0.483695652173913
"Aaron Nola","CH","R","L",253,86.0632411067194,1481.96442687747,-1.27482213438735,0.273715415019763,0.138339920948617,0.588932806324111,0.00395256916996047,0.470355731225296
"Aaron Nola","CH","R","R",195,85.7241025641026,1482.65128205128,-1.26210256410256,0.300923076923077,0.153846153846154,0.646153846153846,0.0153846153846154,0.487179487179487
"Aaron Nola","FC","R","R",146,86.6986301369863,2224.50684931507,0.089041095890411,0.566643835616438,0.191780821917808,0.671232876712329,0.0273972602739726,0.60958904109589
"Aaron Nola","FF","R","L",551,92.7506352087114,2297.44283121597,-1.07529945553539,1.27355716878403,0.101633393829401,0.680580762250454,0.0127041742286751,0.560798548094374
"Aaron Nola","FF","R","R",464,92.7551724137931,2320.17456896552,-1.10306034482759,1.29900862068966,0.0926724137931035,0.734913793103448,0.0193965517241379,0.579741379310345
"Aaron Nola","KC","R","L",383,78.3485639686684,2572.7545691906,1.21469973890339,-0.895430809399478,0.16710182767624,0.751958224543081,0.00522193211488251,0.626631853785901
"Aaron Nola","KC","R","R",423,78.7536643026005,2604.16075650118,1.18706855791962,-0.906666666666667,0.203309692671395,0.699763593380615,0.0141843971631206,0.541371158392435
"Aaron Nola","SI","R","L",250,92.0428,2192.912,-1.40184,0.80788,0.032,0.656,0.016,0.56
"Aaron Nola","SI","R","R",322,92.283850931677,2202.95652173913,-1.42481366459627,0.812795031055901,0.0434782608695652,0.717391304347826,0.0093167701863354,0.627329192546584
"Adam Wainwright","CH","R","L",169,82.0479289940828,1757.55029585799,-1.19,0.666390532544379,0.0650887573964497,0.50887573964497,0,0.455621301775148
"Adam Wainwright","CU","R","L",556,72.7402877697842,2763.51891891892,1.33327338129496,-1.25548561151079,0.0557553956834532,0.678057553956834,0.00899280575539568,0.51978417266187
"Adam Wainwright","CU","R","R",404,73.1898514851485,2791.31930693069,1.34980198019802,-1.22009900990099,0.106435643564356,0.702970297029703,0.00742574257425743,0.554455445544555
"Adam Wainwright","FC","R","L",293,84.5737201365188,2398.79863481229,0.501843003412969,0.582286689419795,0.0580204778156997,0.675767918088737,0.0170648464163823,0.532423208191126
"Adam Wainwright","FC","R","R",491,84.1419551934827,2418.8533604888,0.537433808553971,0.459877800407332,0.10183299389002,0.674134419551935,0.0142566191446029,0.566191446028513
"Adam Wainwright","FF","R","L",204,87.928431372549,2224.80295566502,-0.122401960784314,1.26397058823529,0.0490196078431373,0.558823529411765,0.00980392156862745,0.450980392156863
"Adam Wainwright","SI","R","L",340,88.1461764705882,2179.70588235294,-1.11164705882353,0.982911764705882,0.0176470588235294,0.561764705882353,0.0205882352941176,0.441176470588235
"Adam Wainwright","SI","R","R",531,88.863088512241,2213.81167608286,-1.07003766478343,1.02967984934087,0.0301318267419962,0.685499058380414,0.0112994350282486,0.572504708097928
"Adrian Houser","CH","R","L",167,85.477245508982,1547.77844311377,-1.24892215568862,0.57251497005988,0.119760479041916,0.502994011976048,0.00598802395209581,0.419161676646707
"Adrian Houser","CU","R","L",118,81.214406779661,1973.05084745763,0.559322033898305,-1.10338983050847,0.0338983050847458,0.491525423728814,0.0169491525423729,0.38135593220339
"Adrian Houser","FF","R","L",220,94.2340909090909,2220.76818181818,-0.777136363636364,1.28831818181818,0.0590909090909091,0.554545454545454,0.00909090909090909,0.4
"Adrian Houser","FF","R","R",108,94.3740740740741,2201.49074074074,-0.799166666666667,1.2662962962963,0.0555555555555556,0.592592592592593,0.00925925925925926,0.481481481481481
"Adrian Houser","SI","R","L",336,93.7089285714286,2083.36826347305,-1.33446428571429,0.739910714285714,0.0505952380952381,0.672619047619048,0.0148809523809524,0.514880952380952
"Adrian Houser","SI","R","R",546,93.7822344322344,2072.51743119266,-1.36250915750916,0.693681318681319,0.0604395604395604,0.686813186813187,0.0164835164835165,0.556776556776557
"Adrian Houser","SL","R","R",217,85.0857142857143,2272.94930875576,0.506451612903226,0.133133640552995,0.0967741935483871,0.534562211981567,0.00921658986175115,0.456221198156682
"Alek Manoah","CH","R","L",309,86.468284789644,1974.48867313916,-1.20647249190939,0.796699029126214,0.087378640776699,0.508090614886731,0.00970873786407767,0.466019417475728
"Alek Manoah","FF","R","L",634,93.8381703470032,2368.73575949367,-0.472381703470032,1.40249211356467,0.0946372239747634,0.65615141955836,0.0157728706624606,0.541009463722397
"Alek Manoah","FF","R","R",423,93.907328605201,2369.04491725768,-0.438983451536643,1.4068085106383,0.156028368794326,0.756501182033097,0.00945626477541371,0.633569739952719
"Alek Manoah","SI","R","L",400,93.4805,2205.785,-1.24235,0.849075,0.065,0.675,0.005,0.5225
