"","first_name","last_name","player_id","pitch_hand","team","pitch_type","pitch_name","pitches","pitch_usage","pitch_speed","spin_rate","pitcher_break_x","pitcher_break_z","rv100","run_value","PA","AVG","SLG","wOBA","whiff_percent","k_percent","put_away","xBA","xSLG","xwOBA","hard_hit_percent"
"608","Rony","García",665621,"R","DET","FF","4-Seamer",395,44.6,92.9,2335,10.6,18,-0.4,-2,100,0.222,0.478,0.343,18.8,21,17.8,0.286,0.647,0.425,55.1
"609","Domingo","Acevedo",642758,"R","OAK","FF","4-Seamer",426,42.4,93,2118,13.6,18.4,-0.6,-3,100,0.244,0.453,0.345,20.9,15,13,0.275,0.489,0.377,43.1
"610","Josh","Fleming",676596,"L","TB","SI","Sinker",362,54.7,91.2,1761,17.5,30.3,-1.9,-7,100,0.34,0.5,0.387,23.1,21,19.1,0.238,0.343,0.279,37
"611","Bailey","Falter",663559,"L","PHI","SI","Sinker",420,32.4,91,1782,7.9,15.8,-0.6,-2,99,0.27,0.573,0.393,21.9,24.2,20.5,0.26,0.529,0.365,42.4
"612","Matt","Festa",670036,"R","SEA","FF","4-Seamer",388,43.3,92.6,2332,4.8,17.6,0.8,3,99,0.179,0.44,0.323,28.9,25.3,20.8,0.233,0.445,0.352,37.3
"613","Justin","Lawrence",664875,"R","COL","SI","Sinker",421,55.2,95.1,2281,16.5,29.3,0.1,1,99,0.337,0.41,0.384,13.1,8.1,11.1,0.306,0.426,0.371,49.4
"614","José","Ureña",570632,"R","COL","SL","Slider",398,24.5,86.8,2323,1.4,30.4,0.6,2,99,0.186,0.326,0.26,29.8,24.2,15.5,0.188,0.32,0.265,21.5
"615","Joely","Rodríguez",570257,"L","NYM","CH","Changeup",327,38.8,87.8,1069,11.3,35.1,0,0,98,0.184,0.31,0.257,38.2,28.6,22.4,0.231,0.372,0.302,37.7
"616","Michael","Rucker",621074,"R","CHC","FF","4-Seamer",392,42.9,94.7,2270,7.4,14.5,0.8,3,98,0.222,0.407,0.328,20.3,14.3,13.6,0.235,0.413,0.337,39.1
"617","Bailey","Ober",641927,"R","MIN","FF","4-Seamer",419,49.1,91.5,2301,8.5,15.3,-0.3,-1,98,0.256,0.433,0.332,22.7,13.3,10.5,0.268,0.539,0.368,33.3
