"","first_name","last_name","player_id","pitch_hand","team","pitch_type","pitch_name","pitches","pitch_usage","pitch_speed","spin_rate","pitcher_break_x","pitcher_break_z","rv100","run_value","PA","AVG","SLG","wOBA","whiff_percent","k_percent","put_away","xBA","xSLG","xwOBA","hard_hit_percent"
"1","Corbin","Burnes",669203,"R","MIL","FC","Cutter",1815,55.4,95,2626,4.4,18.6,1.2,21,464,0.213,0.335,0.292,27.8,24.6,24.1,0.246,0.376,0.312,38.4
"2","Carlos","Rodón",607074,"L","SF","FF","4-Seamer",1826,61.2,95.5,2349,6,12,1.2,22,443,0.213,0.358,0.29,27.9,30.5,24.1,0.206,0.347,0.278,44.8
"3","Logan","Gilbert",669302,"R","SEA","FF","4-Seamer",1626,53.9,96.1,2135,6.4,11.9,0.7,12,418,0.259,0.439,0.337,23.7,22.5,20.5,0.261,0.444,0.339,50.5
"4","Triston","McKenzie",663474,"R","CLE","FF","4-Seamer",1575,56.1,92.5,2312,3,11.6,1.1,17,407,0.202,0.357,0.289,19.6,18.4,17.4,0.241,0.45,0.336,46.9
"5","Gerrit","Cole",543037,"R","NYY","FF","4-Seamer",1698,51.9,97.8,2428,10.4,10.5,0.5,8,399,0.221,0.42,0.313,28.9,33.8,24.8,0.216,0.398,0.3,47.6
"6","Framber","Valdez",664285,"L","HOU","SI","Sinker",1478,49,93.9,2203,14.4,24.2,0.3,4,394,0.293,0.409,0.359,12.1,7.1,12.3,0.295,0.438,0.357,47.1
"7","Nick","Pivetta",601713,"R","BOS","FF","4-Seamer",1572,51,93.4,2310,5.1,10.9,0.6,9,384,0.236,0.442,0.341,21.1,21.6,19.8,0.249,0.466,0.357,48.8
"8","Cristian","Javier",664299,"R","HOU","FF","4-Seamer",1535,60.1,93.8,2354,7.3,12.3,1.2,18,370,0.183,0.326,0.282,27.3,28.9,20.2,0.181,0.317,0.274,39.2
"9","Patrick","Corbin",571578,"L","WSH","SI","Sinker",1190,45.4,92.8,2068,14.2,19.9,-0.9,-11,367,0.315,0.478,0.384,11.6,15.5,16.3,0.318,0.549,0.399,51.1
"10","Cal","Quantrill",615698,"R","CLE","SI","Sinker",1317,45.1,93.6,2105,12.1,16.3,0.1,2,358,0.292,0.426,0.347,13.8,12.8,12.9,0.274,0.432,0.343,33.8
"11","Spencer","Strider",675911,"R","ATL","FF","4-Seamer",1525,67,98.2,2343,5.1,10.7,1.3,20,357,0.201,0.295,0.262,27.7,33.6,24.4,0.207,0.336,0.281,41.8
"12","Joe","Ryan",657746,"R","MIN","FF","4-Seamer",1441,60.3,92,2194,10.8,17.5,1.4,21,355,0.174,0.299,0.267,25.8,27,20.6,0.2,0.377,0.301,40.7
"13","Dylan","Cease",656302,"R","CWS","SL","Slider",1338,42.9,87.4,2833,4,35,2.7,36,349,0.128,0.209,0.193,43.3,37.5,27.8,0.144,0.223,0.202,22
"14","José","Urquidy",664353,"R","HOU","FF","4-Seamer",1392,52.7,93.5,2201,7.7,11.7,0.6,8,347,0.243,0.482,0.334,18.8,17,14.8,0.275,0.523,0.371,51.2
"15","Kevin","Gausman",592332,"R","TOR","FF","4-Seamer",1358,48.8,95,2265,10.5,13.1,0.2,2,342,0.333,0.483,0.371,16.3,18.4,17.7,0.296,0.511,0.359,50.4
"16","Julio","Urías",628711,"L","LAD","FF","4-Seamer",1291,49.2,93.1,2521,3,14.9,1.2,16,336,0.195,0.363,0.294,22.9,22.6,22.2,0.206,0.36,0.285,38
"17","Sean","Manaea",640455,"L","SD","FF","4-Seamer",1278,51.5,91.3,2000,12.5,20.2,-0.2,-3,335,0.228,0.406,0.307,24,24.8,20.8,0.227,0.406,0.31,43.4
"18","Brady","Singer",663903,"R","KC","SI","Sinker",1278,53.8,93.8,2297,14.9,20.6,0.3,4,330,0.255,0.387,0.318,13.9,20.9,22.1,0.244,0.391,0.309,39.7
"19","Robbie","Ray",592662,"L","SEA","FF","4-Seamer",1197,39.3,93.4,2282,6.7,13.4,0.8,9,327,0.224,0.397,0.312,25.8,26.6,24.2,0.209,0.364,0.29,37
"20","Lucas","Giolito",608337,"R","CWS","FF","4-Seamer",1313,47.7,92.6,2172,5.4,13.9,0,0,320,0.283,0.449,0.359,21.3,21.6,18.9,0.254,0.422,0.337,43.1
"21","Justin","Verlander",434378,"R","HOU","FF","4-Seamer",1315,50.4,95,2423,9.5,11.4,1.8,24,317,0.194,0.285,0.249,18.1,15.8,15,0.234,0.394,0.3,40.3
"22","Martín","Pérez",527048,"L","TEX","SI","Sinker",1049,35.2,92.6,1997,16.4,21.8,0.8,9,314,0.249,0.342,0.315,12.6,18.5,22.7,0.244,0.36,0.317,40.7
"23","Zac","Gallen",668678,"R","AZ","FF","4-Seamer",1410,48,94.1,2420,3.4,13.4,1.2,17,310,0.165,0.301,0.262,19.7,28.4,20.5,0.2,0.356,0.296,41.9
"24","Dane","Dunning",641540,"R","TEX","SI","Sinker",1015,39.8,89.5,2004,15.6,28.8,-0.1,-1,306,0.295,0.448,0.381,13.2,14.4,20.5,0.273,0.431,0.358,43.8
"25","Kevin","Gausman",592332,"R","TOR","FS","Splitter",989,35.5,85.2,1569,15,33,1.4,14,303,0.195,0.293,0.241,44.1,42.2,25,0.172,0.228,0.2,22.4
"26","Madison","Bumgarner",518516,"L","AZ","FC","Cutter",986,36.3,87.4,2295,2.9,27.7,-0.6,-6,292,0.306,0.513,0.38,16.5,17.5,15.9,0.3,0.515,0.374,43.4
"27","Marco","Gonzales",594835,"L","SEA","CH","Changeup",865,30.5,79.4,2114,17.3,36.7,-0.3,-2,292,0.263,0.442,0.324,24.5,16.8,14.6,0.235,0.359,0.276,30.7
"28","Michael","Kopech",656629,"R","CWS","FF","4-Seamer",1241,61.7,94.9,2529,9.9,11.9,0.5,6,292,0.189,0.337,0.303,25.6,23.6,21,0.205,0.359,0.316,45.2
"29","Alex","Cobb",502171,"R","SF","SI","Sinker",1014,41.9,94.8,2091,15.8,21.4,0.4,4,289,0.274,0.377,0.338,13.5,28,24.6,0.232,0.331,0.3,49.7
"30","Pablo","López",641154,"R","MIA","FF","4-Seamer",1129,38.8,93.5,2197,4.5,17.9,0.2,3,289,0.254,0.423,0.324,23.1,26.3,22.2,0.247,0.395,0.315,33.2
"31","Logan","Webb",657277,"R","SF","CH","Changeup",937,31.2,86.4,1493,7.1,42,1.2,12,289,0.204,0.286,0.256,26.6,23.9,19.9,0.239,0.33,0.277,42.3
"32","Luis","Garcia",677651,"R","HOU","FF","4-Seamer",1038,42.1,94,2408,7.5,13.1,-0.3,-3,289,0.281,0.519,0.38,18.2,18,20.6,0.267,0.495,0.362,45.9
"33","JT","Brubaker",664141,"R","PIT","SI","Sinker",998,41.9,93.1,2281,16.1,21.7,0.4,4,288,0.283,0.434,0.369,14.7,16.3,18.7,0.273,0.427,0.352,44.9
"34","Blake","Snell",605483,"L","SD","FF","4-Seamer",1300,55.5,95.8,2434,5.2,11.2,0.5,6,287,0.255,0.407,0.347,22.4,23,17.4,0.232,0.386,0.328,42.2
"35","Ranger","Suárez",624133,"L","PHI","SI","Sinker",1030,40.2,92.5,1907,16,25.7,0.9,9,286,0.22,0.314,0.303,11.9,18.5,20.5,0.249,0.366,0.313,41.6
"36","Hunter","Greene",668881,"R","CIN","FF","4-Seamer",1182,53.7,98.9,2368,11.7,12.1,-0.4,-5,283,0.261,0.514,0.372,28.3,29,22.9,0.248,0.477,0.361,48.5
"37","Alex","Cobb",502171,"R","SF","FS","Splitter",1028,42.5,89.6,1578,13,32.2,-0.2,-2,283,0.244,0.307,0.269,30.3,21.9,19.6,0.226,0.304,0.249,34.3
"38","Charlie","Morton",450203,"R","ATL","CU","Curveball",1103,38,81.3,3068,15.5,51.1,0.7,8,283,0.171,0.323,0.261,41.8,43.1,29,0.164,0.26,0.235,34.1
"39","Charlie","Morton",450203,"R","ATL","FF","4-Seamer",977,33.7,94.9,2373,10.6,17.9,-0.7,-7,278,0.258,0.467,0.353,19.9,23.7,19.6,0.248,0.458,0.347,46.4
"40","Kris","Bubic",663460,"L","KC","FF","4-Seamer",1143,50.5,91.9,2134,7.7,15.9,-1.8,-20,277,0.348,0.587,0.441,20.1,20.2,18.9,0.296,0.498,0.391,48.6
"41","Brandon","Woodruff",605540,"R","MIL","FF","4-Seamer",977,38.5,96.3,2350,6,12.1,0.6,6,276,0.184,0.381,0.287,28.4,35.5,23.6,0.192,0.374,0.29,46.6
"42","Adam","Wainwright",425794,"R","STL","CU","Curveball",993,31.7,72.9,2775,16.1,67.5,1,10,275,0.251,0.353,0.287,22.3,21.1,16.7,0.248,0.352,0.291,29
"43","Robbie","Ray",592662,"L","SEA","SL","Slider",1134,37.2,87.2,2190,1.5,28.3,0.5,6,274,0.184,0.349,0.247,39.4,37.2,23.2,0.208,0.33,0.252,41.9
"44","Jordan","Montgomery",656756,"L","STL","SI","Sinker",939,34.6,93,2211,16.9,21.9,1.1,10,274,0.247,0.359,0.305,17.1,15.7,22.6,0.285,0.401,0.33,39.5
"45","Justin","Steele",657006,"L","CHC","FF","4-Seamer",1147,56.4,92.2,2490,1.6,19.4,-0.3,-4,274,0.312,0.407,0.389,20.3,16.4,17,0.274,0.361,0.339,33.5
"46","Nestor","Cortes",641482,"L","NYY","FF","4-Seamer",1080,43.8,91.8,2270,4.1,12.7,2,22,274,0.157,0.24,0.206,25.3,31,22,0.184,0.297,0.24,39
"47","James","Kaprielian",621076,"R","OAK","FF","4-Seamer",1091,48.9,94,2006,7.6,15.5,-0.1,-1,273,0.257,0.465,0.364,16.6,13.9,13,0.281,0.482,0.378,39.8
"48","Marco","Gonzales",594835,"L","SEA","FF","4-Seamer",1037,36.5,88.5,1986,12.2,20.3,-0.2,-2,272,0.248,0.44,0.351,15.6,13.2,12.2,0.276,0.479,0.368,38.9
"49","Tyler","Mahle",641816,"R","MIN","FF","4-Seamer",1093,52,93.2,2293,10.2,13.5,0.6,7,271,0.203,0.365,0.293,27.9,32.1,22.1,0.18,0.318,0.271,47.7
"50","Marcus","Stroman",573186,"R","CHC","SI","Sinker",877,40.2,92,2265,9,29,1.6,14,269,0.23,0.357,0.324,15.4,14.9,20,0.239,0.381,0.32,41.8
"51","Dylan","Cease",656302,"R","CWS","FF","4-Seamer",1241,39.8,96.8,2507,3,10.3,0.4,5,268,0.24,0.391,0.336,23.2,21.3,16.3,0.218,0.366,0.322,35.5
"52","Kyle","Wright",657140,"R","ATL","CU","Curveball",919,34.1,84.7,2723,9,46.6,1.1,10,268,0.211,0.307,0.263,33.5,33.2,27.3,0.22,0.323,0.262,40.5
"53","Eric","Lauer",641778,"L","MIL","FF","4-Seamer",1175,43.9,93.3,2290,9.8,14.6,0.8,9,268,0.193,0.366,0.286,29.8,32.8,21.1,0.188,0.332,0.275,43.7
"54","Jon","Gray",592351,"R","TEX","FF","4-Seamer",1042,50.5,95.9,2015,11.4,17.2,0.3,3,267,0.275,0.417,0.341,17.4,19.5,16.6,0.278,0.429,0.343,43.2
"55","Andre","Pallante",669467,"R","STL","FF","4-Seamer",955,54.5,95.2,2221,3.6,21,0.6,6,266,0.293,0.384,0.336,12.2,11.3,13.4,0.263,0.351,0.307,43
"56","Pablo","López",641154,"R","MIA","CH","Changeup",1029,35.4,87.5,1965,17.3,32.3,0.4,4,265,0.22,0.374,0.289,33.8,27.5,21.1,0.233,0.367,0.288,33.9
"57","Alek","Manoah",666201,"R","TOR","FF","4-Seamer",1057,35.8,93.9,2369,5.5,14.3,1.8,19,264,0.212,0.339,0.286,26.1,24.6,22.3,0.241,0.392,0.312,39.7
"58","Adrian","Houser",605288,"R","MIL","SI","Sinker",882,47.7,93.8,2077,16.2,22.6,-0.4,-3,263,0.296,0.438,0.376,12.9,9.9,12.9,0.309,0.465,0.382,42.2
"59","Shane","Bieber",669456,"R","CLE","SL","Slider",849,29.5,85,2515,2.8,35.1,1.4,12,263,0.191,0.287,0.233,40,31.2,27.2,0.196,0.297,0.235,34.3
"60","Sandy","Alcantara",645261,"R","MIA","CH","Changeup",895,27.6,91.8,2056,16.8,28.9,2.7,24,263,0.146,0.195,0.179,34.6,29.7,27.1,0.169,0.229,0.199,29.5
"61","José","Quintana",500779,"L","STL","FF","4-Seamer",981,36,91.2,2077,2.4,17.7,1.7,17,262,0.215,0.317,0.26,22.9,23.3,16.2,0.239,0.347,0.281,32.4
"62","Cole","Irvin",608344,"L","OAK","FF","4-Seamer",979,37.5,90.7,1976,9.9,17.2,0.9,9,260,0.218,0.379,0.285,23.4,27.7,22.8,0.227,0.41,0.299,44.2
"63","Max","Fried",608331,"L","ATL","FF","4-Seamer",916,32.5,94,2139,1.7,18.5,1.3,12,259,0.251,0.377,0.303,14.8,14.7,15,0.256,0.388,0.313,33.2
"64","Jakob","Junis",596001,"R","SF","SL","Slider",910,50.5,83.1,2473,13.3,38.9,0.6,6,258,0.229,0.396,0.295,25.1,28.7,22.9,0.231,0.374,0.289,39.5
"65","Chad","Kuhl",641771,"R","COL","SL","Slider",870,36.6,86.5,2541,3,34.4,0.8,7,257,0.213,0.387,0.289,34.2,33.1,22.9,0.217,0.352,0.278,35.1
"66","Chris","Bassitt",605135,"R","NYM","SI","Sinker",966,33.5,92.8,2118,16.1,22.5,1.8,18,256,0.257,0.35,0.325,15.2,10.5,19.4,0.252,0.403,0.329,36
"67","Brady","Singer",663903,"R","KC","SL","Slider",903,38,85.5,2341,3.6,36.8,0.8,7,254,0.237,0.371,0.289,33.9,30.7,24.5,0.229,0.367,0.288,40.9
"68","Sandy","Alcantara",645261,"R","MIA","SI","Sinker",811,25,97.8,2293,17.7,21.3,0.9,7,254,0.267,0.371,0.323,11,11.4,15.6,0.253,0.345,0.299,36.5
"69","Cal","Quantrill",615698,"R","CLE","FC","Cutter",1051,36,88.5,2238,2.7,27.8,0.1,1,253,0.236,0.369,0.29,23.9,18.6,17.2,0.255,0.42,0.317,39.5
"70","Daniel","Lynch IV",663738,"L","KC","FF","4-Seamer",1043,42.8,94,2125,6.8,15.2,-0.1,-1,252,0.303,0.425,0.378,19.4,17.1,14.2,0.3,0.485,0.377,51.7
"71","Shohei","Ohtani",660271,"R","LAA","ST","Sweeper",983,37.4,85.3,2492,14,32.7,2.6,25,251,0.165,0.274,0.232,38.1,32.7,30.1,0.183,0.293,0.243,30
"72","Zach","Davies",605200,"R","AZ","SI","Sinker",1136,49.6,89.5,2082,14.9,21.8,-0.8,-10,249,0.268,0.507,0.384,10.8,16.9,13.3,0.283,0.531,0.393,46.9
"73","Trevor","Rogers",669432,"L","MIA","FF","4-Seamer",1023,52.7,94.6,2423,12.6,16.7,-1,-11,247,0.312,0.553,0.409,22.8,21.9,18.6,0.3,0.535,0.402,49.1
"74","Shane","Bieber",669456,"R","CLE","FF","4-Seamer",990,34.4,91.3,2206,8.5,15.3,-0.1,-1,246,0.292,0.434,0.356,15.1,16.3,20,0.314,0.513,0.381,55.3
"75","Logan","Webb",657277,"R","SF","SI","Sinker",990,32.9,91.8,1881,14.8,34.8,0.9,9,244,0.327,0.45,0.386,13,11.1,21.1,0.303,0.44,0.36,47.2
"76","Merrill","Kelly",518876,"R","AZ","FF","4-Seamer",945,30.8,92.6,2360,7.8,16.7,0.9,8,244,0.206,0.364,0.302,23.3,25.4,22.4,0.187,0.339,0.283,40.1
"77","Framber","Valdez",664285,"L","HOU","CU","Curveball",846,28,79.1,2848,11.7,60.5,1.2,11,243,0.146,0.196,0.21,45.4,50.6,30.4,0.146,0.203,0.202,34.7
"78","Jordan","Lyles",543475,"R","BAL","FF","4-Seamer",949,31.8,91.8,2204,5.9,15.5,-0.5,-4,243,0.288,0.54,0.394,18.7,13.6,13,0.309,0.577,0.415,50
"79","Tyler","Anderson",542881,"L","LAD","CH","Changeup",815,31.6,79,1848,13.3,34.8,1.8,14,242,0.179,0.262,0.213,37,24.8,21.7,0.19,0.274,0.223,19.3
"80","Chris","Archer",502042,"R","MIN","SL","Slider",792,44.3,88.7,2464,5.2,30.5,1.2,9,241,0.202,0.337,0.298,26.5,21.2,17.2,0.241,0.38,0.32,43.8
"81","Jeffrey","Springs",605488,"L","TB","CH","Changeup",745,34.7,81.1,1415,13.7,34.1,1.7,12,240,0.229,0.32,0.265,38.1,29.2,26.3,0.205,0.279,0.229,27.3
"82","Jameson","Taillon",592791,"R","NYY","FF","4-Seamer",996,35.5,94.1,2370,5.7,13.2,0.2,2,240,0.266,0.464,0.345,22.7,25.8,17.6,0.262,0.483,0.345,50.9
"83","José","Ureña",570632,"R","COL","SI","Sinker",833,51.4,95.6,2191,14.5,22.4,-0.4,-3,239,0.313,0.449,0.369,13.7,12.1,19.1,0.304,0.485,0.378,47.8
"84","Zack","Wheeler",554430,"R","PHI","FF","4-Seamer",991,42,95.9,2391,9.2,13.6,1,10,239,0.211,0.358,0.281,28.6,30.5,24,0.228,0.39,0.301,47.9
"85","Dakota","Hudson",641712,"R","STL","SI","Sinker",790,35.1,91.9,2058,12.5,26.3,-0.9,-7,239,0.317,0.417,0.378,7.4,6.7,8.9,0.315,0.453,0.389,48.1
"86","George","Kirby",669923,"R","SEA","FF","4-Seamer",950,45.4,95.3,2179,8.8,15.1,1.9,18,237,0.221,0.345,0.257,26.4,30.4,22.4,0.208,0.376,0.267,42.9
"87","Aaron","Nola",605400,"R","PHI","CU","Curveball",806,26.5,78.6,2589,14.4,55.7,0.9,7,236,0.219,0.346,0.261,39.4,36,27,0.195,0.286,0.228,26.6
"88","Paolo","Espino",502179,"R","WSH","FF","4-Seamer",899,48,88.5,2228,2.8,15.9,-0.5,-5,236,0.286,0.482,0.362,12.2,15.3,14.2,0.297,0.537,0.379,47.8
"89","Chad","Kuhl",641771,"R","COL","SI","Sinker",1000,42.1,92.8,2129,14.4,21.8,-2.6,-26,236,0.367,0.599,0.459,11.8,1.7,4.5,0.347,0.608,0.441,53.7
"90","Hunter","Greene",668881,"R","CIN","SL","Slider",901,41,88.1,2363,4.6,32,0.6,5,236,0.17,0.307,0.261,38,34.3,22.9,0.177,0.289,0.248,29.3
"91","Carlos","Rodón",607074,"L","SF","SL","Slider",929,31.1,85.4,2447,8.1,38.6,1,9,234,0.193,0.239,0.225,39,39.7,24.2,0.177,0.237,0.213,30.2
"92","Josiah","Gray",680686,"R","WSH","FF","4-Seamer",1011,38.9,94.4,2216,10,13,-2.1,-21,233,0.3,0.732,0.481,17,8.6,10.1,0.26,0.63,0.43,45.3
"93","Alex","Wood",622072,"L","SF","SI","Sinker",1019,45.5,92.4,2041,15.6,21.6,-0.5,-6,233,0.261,0.469,0.335,23.2,29.2,19.6,0.243,0.463,0.33,45.9
"94","Graham","Ashcraft",668933,"R","CIN","FC","Cutter",898,51.1,97.3,2383,0.5,19.3,0.3,2,233,0.284,0.38,0.34,15.2,9.4,10.9,0.269,0.375,0.323,33.2
"95","Max","Scherzer",453286,"R","NYM","FF","4-Seamer",983,45.4,94,2387,11.1,15,1.3,13,232,0.212,0.37,0.279,23,21.1,23.1,0.232,0.459,0.332,44.2
"96","Jake","Odorizzi",543606,"R","ATL","FF","4-Seamer",920,51.2,92.1,2144,9.8,15,-0.4,-3,232,0.268,0.42,0.339,22.2,18.1,15.8,0.27,0.434,0.345,39.4
"97","Erick","Fedde",607200,"R","WSH","SI","Sinker",966,39.9,92.6,1877,8.8,22.1,0,0,232,0.307,0.46,0.372,14.4,13.8,13.1,0.302,0.44,0.365,49.1
"98","Ian","Anderson",666120,"R","ATL","FF","4-Seamer",962,48,94,1938,5.9,14.3,-0.4,-4,231,0.306,0.444,0.38,18.1,10.4,9.9,0.298,0.46,0.384,47.1
"99","Clayton","Kershaw",477132,"L","LAD","SL","Slider",786,42.7,86.6,2577,5.4,29.8,1.3,10,231,0.2,0.298,0.26,37.3,33.3,25.7,0.201,0.276,0.237,36.4
"100","Alek","Manoah",666201,"R","TOR","SL","Slider",798,27.1,81.5,2216,14.5,41,0.8,6,231,0.19,0.324,0.248,31.8,27.7,20.6,0.218,0.346,0.272,22.7
"101","Reid","Detmers",672282,"L","LAA","FF","4-Seamer",961,44.1,93.2,2102,10.1,14.7,0.5,5,229,0.232,0.412,0.335,22.2,19.2,15.9,0.262,0.455,0.359,43.5
"102","Kyle","Bradish",680694,"R","BAL","FF","4-Seamer",886,44.5,94.6,2305,1.3,14.4,-2.1,-19,229,0.321,0.539,0.42,17.5,15.7,16.5,0.301,0.517,0.399,44.7
"103","Logan","Webb",657277,"R","SF","SL","Slider",982,32.7,82.5,2628,10.2,39.4,-0.1,-1,228,0.202,0.329,0.27,31.1,26.3,16.7,0.203,0.331,0.253,24.4
"104","Justin","Verlander",434378,"R","HOU","SL","Slider",738,28.3,87.4,2464,4,31,0.8,6,227,0.188,0.261,0.22,34.6,39.6,26.8,0.187,0.289,0.222,27.9
"105","Brad","Keller",641745,"R","KC","FF","4-Seamer",804,35.3,94.5,2409,2.4,17.3,-0.5,-4,226,0.25,0.38,0.317,18.1,20.4,18,0.248,0.369,0.3,34.4
"106","Aaron","Nola",605400,"R","PHI","FF","4-Seamer",1015,33.4,92.8,2308,13.1,16.6,1,10,225,0.197,0.356,0.268,24.2,28.9,20.6,0.2,0.382,0.281,35.4
"107","Trevor","Williams",592866,"R","NYM","FF","4-Seamer",743,52.8,91.2,2242,6.9,19.9,1.7,12,225,0.243,0.371,0.298,19.9,24,20.6,0.224,0.369,0.284,42.3
"108","Martín","Pérez",527048,"L","TEX","CH","Changeup",823,27.6,84.4,1661,14.2,29.6,-0.2,-1,224,0.233,0.338,0.286,33.5,18.8,17.7,0.251,0.353,0.288,25.4
"109","Taijuan","Walker",592836,"R","NYM","FS","Splitter",689,27.6,88.8,1447,10.8,32.6,2,14,223,0.195,0.267,0.243,29,24.2,19.3,0.225,0.323,0.261,40.8
"110","Zach","Davies",605200,"R","AZ","CH","Changeup",762,33.2,79.7,1672,14,34.6,1.9,14,222,0.187,0.325,0.261,32.2,20.7,20.4,0.215,0.341,0.267,25.3
"111","Josiah","Gray",680686,"R","WSH","SL","Slider",752,29,85.8,2030,1.6,31.6,1.3,10,221,0.191,0.321,0.257,38.5,35.7,28.4,0.181,0.263,0.221,28.5
"112","Rich","Hill",448179,"L","BOS","CU","Curveball",727,36.5,71.9,2636,17.8,67.7,0.3,2,221,0.235,0.377,0.306,16.8,15.4,13.9,0.241,0.368,0.298,30
"113","Kyle","Gibson",502043,"R","PHI","SI","Sinker",769,28.1,91.7,2133,14.5,25.4,-0.5,-4,221,0.308,0.462,0.384,19.9,15.8,19.2,0.292,0.449,0.362,49.7
"114","Chris","Flexen",623167,"R","SEA","FF","4-Seamer",869,39.4,91.7,2132,2.3,13.7,-0.3,-3,221,0.303,0.53,0.4,15.4,13.1,13.1,0.284,0.526,0.398,52.5
"115","Adam","Wainwright",425794,"R","STL","SI","Sinker",871,27.8,88.6,2201,13,22.7,-0.2,-2,220,0.255,0.373,0.302,8.9,22.7,18.9,0.29,0.479,0.354,51.9
"116","Shane","McClanahan",663556,"L","TB","FF","4-Seamer",877,35.6,96.7,2233,10.8,11.7,0.7,6,220,0.24,0.439,0.337,24.1,21.8,20.8,0.229,0.422,0.324,41.9
"117","Keegan","Thompson",624522,"R","CHC","FF","4-Seamer",891,47.4,93.5,2369,4.5,14,-0.3,-2,219,0.261,0.479,0.372,19.6,21,18.5,0.261,0.505,0.375,45.8
"118","Alek","Manoah",666201,"R","TOR","SI","Sinker",765,25.9,93.3,2193,14.7,21.2,1,8,219,0.223,0.264,0.283,16.1,20.1,21.4,0.212,0.274,0.27,29.3
"119","Dylan","Bundy",605164,"R","MIN","FF","4-Seamer",865,39.7,89,2352,4.5,15.3,0.2,2,219,0.258,0.464,0.342,16.6,13.2,12.9,0.251,0.463,0.344,39.9
"120","Julio","Urías",628711,"L","LAD","SV","Slurve",873,33.3,80.9,2914,16.3,42.7,1.4,12,218,0.2,0.356,0.27,21.4,27.1,20.8,0.193,0.316,0.242,24.3
"121","Miles","Mikolas",571945,"R","STL","FF","4-Seamer",860,27.3,93.5,2292,4.9,16.3,0.6,5,217,0.213,0.351,0.287,21.6,30,19.7,0.228,0.386,0.291,43.5
"122","Germán","Márquez",608566,"R","COL","FF","4-Seamer",851,30,95.6,2138,9,16.6,-1.5,-13,215,0.313,0.527,0.408,15.3,12.6,12.1,0.275,0.437,0.363,47.1
"123","Brad","Keller",641745,"R","KC","SL","Slider",789,34.7,86.9,2541,5.7,38.5,-0.7,-5,215,0.257,0.419,0.329,29.3,20,18.3,0.25,0.437,0.336,44
"124","Jonathan","Heasley",669169,"R","KC","FF","4-Seamer",821,45.7,93.4,2322,8.2,12.5,-0.5,-4,215,0.277,0.554,0.407,13.9,13.5,14.1,0.258,0.486,0.374,45.4
"125","Brock","Burke",656271,"L","TEX","FF","4-Seamer",839,63.1,95,2280,10.3,14,0.7,6,214,0.196,0.354,0.293,21.6,30.8,24.6,0.21,0.356,0.292,47.2
"126","Patrick","Sandoval",663776,"L","LAA","SL","Slider",716,29.2,86.3,2551,6.6,35.6,1.3,9,214,0.201,0.261,0.247,33.5,28.5,26.8,0.212,0.318,0.265,31.7
"127","Jason","Alexander",669920,"R","MIL","SI","Sinker",658,56.7,92.4,2062,16.4,30.9,-1,-7,214,0.344,0.511,0.403,9.6,10.3,14.5,0.311,0.463,0.377,49.4
"128","Zach","Plesac",668676,"R","CLE","FF","4-Seamer",924,42.9,91.9,2148,7.4,13.6,-0.4,-4,214,0.301,0.495,0.393,14.7,7,8,0.307,0.569,0.415,47.7
"129","Antonio","Senzatela",622608,"R","COL","FF","4-Seamer",828,54.4,94.2,2133,3.4,19.6,-1.6,-14,213,0.398,0.592,0.445,12.6,8,8.9,0.323,0.489,0.376,46.4
"130","Bryan","Shaw",543766,"R","CLE","FC","Cutter",738,76.2,92.9,2411,4.6,23,0.1,1,212,0.25,0.391,0.337,20.7,18.9,21.6,0.256,0.394,0.332,46.2
"131","Miles","Mikolas",571945,"R","STL","SI","Sinker",701,22.2,93,2232,13.3,19.5,1.2,8,212,0.211,0.309,0.264,12.5,20.3,18.1,0.223,0.326,0.277,32.5
"132","Corey","Kluber",446372,"R","TB","FC","Cutter",839,34.2,86.3,2463,2.9,28.1,0.8,7,211,0.302,0.436,0.326,25.6,14.7,19.3,0.275,0.432,0.313,30.3
"133","Yu","Darvish",506433,"R","SD","SL","Slider",936,31.5,86,2778,5.7,37.1,0.7,6,211,0.301,0.454,0.378,25.7,12.3,19.7,0.3,0.473,0.38,36.7
"134","JT","Brubaker",664141,"R","PIT","SL","Slider",739,31,86.7,2653,0.9,34.3,-1.5,-11,211,0.255,0.432,0.351,41,34.1,24.5,0.225,0.389,0.3,35.5
"135","Corey","Kluber",446372,"R","TB","CU","Curveball",669,27.3,80.7,2526,16.5,41,-0.2,-1,210,0.255,0.415,0.315,28.3,31,23.4,0.23,0.377,0.283,34.1
"136","Martín","Pérez",527048,"L","TEX","FC","Cutter",724,24.3,89.9,2214,1.1,21.6,1.7,13,210,0.228,0.29,0.265,17,27.6,27.5,0.231,0.305,0.271,33.1
"137","Tyler","Anderson",542881,"L","LAD","FF","4-Seamer",979,38,90.7,2231,7.5,15.3,0.7,6,210,0.262,0.428,0.338,18.6,17.6,17.1,0.255,0.449,0.342,40.8
"138","José","Berríos",621244,"R","TOR","SI","Sinker",706,25.9,93.9,2116,16.6,20.7,0.6,4,209,0.319,0.452,0.375,11.6,12,15.6,0.315,0.489,0.382,42.1
"139","Alex","Wood",622072,"L","SF","SL","Slider",805,36,84.5,2067,3.1,41.1,-0.8,-7,208,0.254,0.381,0.323,28.7,24,17.4,0.248,0.364,0.318,38.1
"140","Nick","Pivetta",601713,"R","BOS","CU","Curveball",833,27,77.2,2710,7.9,65.3,-1.9,-16,208,0.296,0.434,0.34,22.2,25,19.6,0.252,0.388,0.301,41
