"","batter_name","batter_id","PA","H","HR","k_percent","bb_percent","AVG","SLG","OBP","OPS","SB","wOBA","xwOBA","EV","sweet_spot_percent","barrel_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent"
"593","Lewis, Royce",668904,41,12,2,12.2,2.4,0.3,0.55,0.317,0.867,0,0.37,0.319,90.7,31.4,5.7,14.3,17.1,34.3,25.7,2.9,40
"594","Hermosillo, Michael",641684,73,7,0,37,9.6,0.115,0.148,0.25,0.398,1,0.203,0.259,86.6,37.1,8.6,5.7,20,31.4,25.7,8.6,31.4
"595","Perez, Roberto",547379,69,14,2,36.2,13,0.233,0.367,0.333,0.7,0,0.315,0.308,89.3,42.9,11.4,11.4,22.9,17.1,34.3,2.9,51.4
"596","Beaty, Matt",607461,47,4,0,17,4.3,0.093,0.163,0.17,0.333,0,0.158,0.243,83.6,22.9,0,8.6,22.9,31.4,31.4,5.7,31.4
"597","Locastro, Tim",641796,46,8,2,15.2,4.3,0.186,0.349,0.239,0.588,8,0.259,0.316,86.5,33.3,5.6,2.8,25,27.8,30.6,5.6,25
"598","Bemboom, Anthony",621532,59,6,1,28.8,10.2,0.115,0.212,0.207,0.419,0,0.196,0.246,90.1,30.6,5.6,2.8,16.7,22.2,41.7,8.3,36.1
"599","Sano, Miguel",593934,71,5,1,35.2,12.7,0.083,0.133,0.211,0.344,1,0.176,0.302,93.9,30.6,13.9,8.3,19.4,44.4,13.9,0,52.8
"600","Rojas, Jose",670351,57,7,0,33.3,0,0.125,0.161,0.14,0.301,0,0.134,0.182,84.8,21.6,2.7,8.1,24.3,37.8,18.9,5.4,32.4
"601","Lewis, Kyle",641786,62,8,3,30.6,8.1,0.143,0.304,0.226,0.53,0,0.239,0.3,89.9,24.3,10.8,0,24.3,29.7,32.4,0,32.4
"602","Benson, Will",666181,61,10,0,31.1,4.9,0.182,0.2,0.25,0.45,0,0.212,0.224,84.2,18.9,0,5.4,27,24.3,32.4,10.8,27
"603","McKinney, Billy",641856,57,5,1,28.1,7,0.096,0.173,0.158,0.331,0,0.144,0.2,83.8,29.7,5.4,2.7,13.5,40.5,32.4,5.4,21.6
"604","Ahmed, Nick",605113,54,12,3,27.8,3.7,0.231,0.442,0.259,0.701,0,0.302,0.227,86.9,32.4,5.4,10.8,21.6,16.2,43.2,2.7,32.4
"605","Campusano, Luis",669134,50,12,1,22,2,0.25,0.333,0.26,0.593,0,0.257,0.258,87.7,26.3,5.3,5.3,18.4,31.6,36.8,2.6,36.8
"606","Tucker, Cole",657061,63,11,0,39.7,0,0.175,0.222,0.175,0.397,1,0.172,0.198,82.4,39.5,7.9,5.3,21.1,18.4,36.8,10.5,23.7
"607","Brennan, Will",686823,45,15,1,8.9,4.4,0.357,0.5,0.4,0.9,2,0.385,0.324,89.8,34.2,5.3,5.3,23.7,18.4,44.7,0,42.1
