"","batter_name","batter_id","PA","H","HR","k_percent","bb_percent","AVG","SLG","OBP","OPS","SB","wOBA","xwOBA","EV","sweet_spot_percent","barrel_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent"
"60","Torres, Gleyber",650402,572,135,24,22.6,6.8,0.257,0.451,0.31,0.761,10,0.328,0.319,90.4,36.2,10.7,8.5,23.7,30.4,23.7,3,45.3
"61","Varsho, Daulton",662139,592,125,27,24.5,7.8,0.235,0.443,0.302,0.745,16,0.323,0.298,87.7,33.6,10.2,8.4,16.8,26,30.3,7.1,35.6
"62","Vogt, Stephen",519390,191,27,7,24.1,8.9,0.161,0.321,0.241,0.562,1,0.249,0.282,87,38.9,7.9,4,22.2,40.5,21.4,4,27.8
"63","Gonzalez, Romy",663853,109,25,2,35.8,1.8,0.238,0.352,0.257,0.609,0,0.264,0.265,91.2,29.9,9,4.5,25.4,17.9,37.3,4.5,49.3
"64","Gurriel, Yuli",493329,584,132,8,12.5,5.1,0.242,0.36,0.288,0.648,8,0.285,0.271,88.2,30.3,1.9,4.4,25.9,32.8,32,2.3,35.6
"65","Reynolds, Matt",608703,272,60,3,28.7,9.6,0.246,0.332,0.32,0.652,5,0.293,0.272,90.2,36.5,3,9,26.3,16.8,43.1,0.6,42.4
"66","Trejo, Alan",676701,125,32,4,24.8,4,0.271,0.424,0.312,0.736,1,0.321,0.291,86.2,37.9,4.6,8,28.7,26.4,29.9,1.1,31.4
"67","Gonzalez, Oscar",660757,382,107,11,19.6,3.9,0.296,0.461,0.327,0.788,1,0.339,0.32,88.6,32.5,7.3,4.8,28.4,18.3,36.3,4.2,40.1
"68","Kwan, Steven",680757,638,168,6,9.4,9.7,0.298,0.4,0.373,0.773,19,0.341,0.312,85.1,34.6,1.4,2.6,29.1,29.5,32.6,4.3,20.8
"69","Robert Jr., Luis",673357,401,108,12,19.2,4.2,0.284,0.426,0.319,0.745,11,0.324,0.327,89.3,32.6,8.9,4.9,27.3,22.4,32.9,3.6,42.8
"70","Renfroe, Hunter",592669,522,121,29,23.2,7.5,0.255,0.492,0.315,0.807,1,0.347,0.323,90.5,32.7,10.9,6.4,21.8,30.4,27.1,3.4,43.6
"71","Mountcastle, Ryan",663624,609,139,22,25.3,7.1,0.25,0.423,0.305,0.728,4,0.316,0.362,91.3,39.5,15,4.7,27,24.3,26.5,1.7,46.3
"72","Miller, Brad",543543,241,47,7,29,7.5,0.212,0.32,0.27,0.59,4,0.263,0.269,91.1,27.5,7.8,4.6,22.9,29.4,33.3,1.3,39.9
"73","Myers, Wil",571976,286,68,7,30.1,7.3,0.261,0.398,0.315,0.713,2,0.311,0.288,88.5,37.6,7.3,7.9,21.9,26.4,32,3.4,37.6
"74","Donaldson, Josh",518626,546,106,15,27.1,9.9,0.222,0.374,0.308,0.682,2,0.302,0.299,90.7,34.8,9.8,6.3,21.4,26.5,33,2.7,43.3
"75","Pujols, Albert",405395,351,83,24,15.7,8,0.27,0.55,0.345,0.895,1,0.38,0.365,91.2,34.5,12,7,22.5,26.7,29.1,2.7,47.3
"76","Peterson, Jace",607054,328,68,8,25.9,10.1,0.236,0.382,0.316,0.698,12,0.306,0.3,88.6,33.7,7.2,5.3,23.6,23.1,35.1,5.3,36.1
"77","Rojas, Josh",668942,510,119,9,19.2,10.8,0.269,0.391,0.349,0.74,23,0.326,0.305,88.8,33.5,4.5,4.8,27.3,26.5,31.3,5.4,36.1
"78","Bogaerts, Xander",593428,631,171,15,18.7,9,0.307,0.456,0.377,0.833,8,0.363,0.323,88.1,30.3,6.5,4.9,27.8,21.7,34.1,4.5,39.5
"79","Seager, Corey",608369,663,145,33,15.5,8.7,0.245,0.455,0.317,0.772,3,0.331,0.372,91.1,38.4,10.5,9.9,24.2,25.1,28.1,1.8,45.5
"80","Toro, Abraham",647351,352,60,10,18.5,6.3,0.185,0.324,0.239,0.563,2,0.246,0.284,87,31.2,6.8,4.6,19.4,36.1,30.8,2.3,29.7
"81","Harrison, Josh",543281,425,99,7,16.7,4.9,0.256,0.37,0.317,0.687,2,0.305,0.284,87.4,32,3.8,5.3,26,28.8,33.2,2.8,32.3
"82","Diaz, Yandy",650490,558,140,9,10.8,14,0.296,0.423,0.401,0.824,3,0.366,0.365,92.2,30.7,4.8,8.9,26.1,20.5,36.7,1.7,49
"83","Brujan, Vidal",660644,162,24,3,22.8,7.4,0.163,0.259,0.228,0.487,5,0.22,0.233,86.1,30.4,2.7,2.7,23.2,34.8,34.8,1.8,27.7
"84","Bride, Jonah",681146,187,33,1,17.1,10.2,0.204,0.247,0.301,0.548,1,0.257,0.282,86.9,31.8,1.5,9.1,21.2,25,36.4,6.8,31.1
"85","Ford, Mike",645801,149,27,3,26.8,11.4,0.206,0.313,0.302,0.615,0,0.28,0.278,88.7,37.4,3.3,7.7,27.5,35.2,22,4.4,33
"86","Santander, Anthony",623993,647,138,33,18.9,8.5,0.24,0.455,0.318,0.773,0,0.336,0.352,90.1,33.5,11.6,8.1,21.7,31.9,23,3.7,43.3
"87","Anderson, Tim",641313,351,100,6,15.7,4,0.301,0.395,0.339,0.734,13,0.323,0.336,88.2,37.5,5.8,5.4,31.8,10.8,41.5,4,41.2
"88","Farmer, Kyle",571657,583,134,14,17,5.7,0.255,0.386,0.315,0.701,4,0.309,0.311,85.5,37.7,4.4,6.9,26,23,32.4,6.7,33.8
"89","Moniak, Mickey",666160,112,18,3,39.3,3.6,0.17,0.302,0.207,0.509,1,0.223,0.203,84.9,22.2,7.9,1.6,14.3,30.2,30.2,15.9,31.7
"90","Berti, Jon",542932,404,86,4,22,10.4,0.24,0.338,0.324,0.662,41,0.298,0.306,88,30.7,5.9,5.2,23.3,19.6,41.5,4.1,37
"91","Alvarez, Yordan",670541,561,144,37,18.9,13.9,0.306,0.613,0.406,1.019,1,0.427,0.462,95.2,40.7,21,7.5,23.2,18.1,29.1,0.8,59.8
"92","Grandal, Yasmani",518735,376,66,5,21,12,0.202,0.269,0.301,0.57,1,0.263,0.29,90,30,4.8,6.4,24.4,26,36,2.4,40
"93","Flores, Wilmer",527038,602,120,19,17.1,9.8,0.229,0.394,0.316,0.71,0,0.312,0.31,87.8,35.7,6.3,5.4,24.5,35.9,24.7,3.3,35.4
"94","Marte, Starling",516782,505,136,16,19.2,5.1,0.292,0.468,0.347,0.815,18,0.355,0.336,86.8,38.5,6.8,7,25.7,17.1,38.8,4.6,33.9
"95","Demeritte, Travis",641513,96,19,3,33.3,6.3,0.213,0.337,0.26,0.597,0,0.263,0.263,88.8,34.5,6.9,5.2,22.4,22.4,39.7,3.4,37.9
"96","Hill, Derek",656537,92,19,1,30.4,5.4,0.229,0.289,0.27,0.559,3,0.249,0.23,85.2,33.9,3.4,3.4,20.3,22,30.5,20.3,30.5
"97","Paredes, Isaac",670623,381,68,20,17.6,11.5,0.205,0.435,0.304,0.739,0,0.323,0.297,87.4,27.4,6.4,6.4,19.2,32,31.6,4.1,38.7
"98","Chirinos, Robinson",455139,220,35,4,30.5,8.6,0.179,0.287,0.265,0.552,1,0.251,0.245,84.8,30.8,6.9,5.4,16.9,32.3,31.5,6.9,33.1
"99","Zimmer, Bradley",605548,117,13,2,38.5,4.3,0.124,0.229,0.207,0.436,3,0.203,0.225,87,21.3,11.5,1.6,11.5,26.2,32.8,16.4,34.4
"100","Robles, Victor",645302,407,82,6,25.6,4.2,0.224,0.311,0.273,0.584,15,0.26,0.244,84.6,29.2,3.2,3.2,20.6,27.8,28.5,16.6,23.8
"101","Contreras, Willson",575929,487,101,22,21.1,9.2,0.243,0.466,0.349,0.815,4,0.357,0.364,90.4,30.2,10.5,8.3,21.3,16.5,36.2,5.4,48.6
"102","Adames, Willy",642715,617,134,31,26.9,7.9,0.238,0.458,0.298,0.756,8,0.325,0.323,88.9,36.4,13,6.5,22.2,29.2,25.2,4,43.6
"103","Cruz, Oneil",665833,361,77,17,34.9,7.8,0.233,0.45,0.294,0.744,10,0.32,0.304,91.9,30.6,15.5,2.9,18.4,20.4,39.3,2.9,46.1
"104","Walker, Christian",572233,667,141,36,19.6,10.3,0.242,0.477,0.327,0.804,2,0.346,0.359,90,33.3,11.5,6.5,22,29.4,26.4,3.7,44
"105","Tucker, Kyle",663656,609,140,30,15.6,9.7,0.257,0.478,0.33,0.808,25,0.348,0.353,90,34.4,10.2,10.2,21.7,30.2,25.3,2.2,42.4
"106","McMahon, Ryan",641857,597,130,20,26.5,10.1,0.246,0.414,0.327,0.741,7,0.326,0.33,91.7,36.4,10.4,6.7,27,21.1,30.2,4.3,46.5
"107","Heyward, Jason",518792,151,28,1,21.2,7.3,0.204,0.277,0.278,0.555,1,0.253,0.278,87.6,26.7,4.8,3.8,21.9,27.6,38.1,3.8,38.1
"108","Riley, Austin",663586,693,168,38,24.2,8.2,0.273,0.528,0.349,0.877,2,0.377,0.378,92.5,37.7,15.7,8.4,20.2,22.8,29.7,2.9,50.8
"109","Meadows, Austin",640457,147,32,0,11.6,10.9,0.25,0.328,0.347,0.675,0,0.307,0.38,87.8,34.2,6.3,6.3,31.5,31.5,19.8,3.6,39.6
"110","Wisdom, Patrick",621550,534,97,25,34.3,9.9,0.207,0.426,0.298,0.724,8,0.316,0.295,90.7,29.8,14.2,6.2,15.6,33.2,24.6,4.8,46.3
"111","Blackmon, Charlie",453568,577,140,16,18.9,5.5,0.264,0.419,0.314,0.733,4,0.317,0.301,86.2,36.7,4.4,4,27.1,25.2,32.2,6.5,30.6
"112","McNeil, Jeff",643446,589,174,9,10.4,6.8,0.326,0.454,0.382,0.836,4,0.365,0.323,86.9,39,2.7,5.2,29.8,27.5,31.2,3.6,30.2
"113","Waters, Drew",671221,109,23,5,36.7,11,0.24,0.479,0.324,0.803,0,0.347,0.296,84.1,41.1,12.5,3.6,19.6,21.4,35.7,7.1,28.6
"114","Verdugo, Alex",657077,644,166,11,13.4,6.5,0.28,0.405,0.328,0.733,1,0.319,0.329,89.1,37.8,6,7.6,27.3,22.8,33.9,2.3,38.2
"115","Jansen, Danny",643376,248,56,15,17.7,10.1,0.26,0.516,0.339,0.855,1,0.364,0.366,90.4,34.7,13.1,6.3,22.7,33,21,3.4,46.6
"116","Guerrero Jr., Vladimir",665489,706,175,32,16.4,8.2,0.274,0.48,0.339,0.819,8,0.351,0.347,92.8,27.9,11.2,6.8,20.2,17.1,41.6,2.1,50.4
"117","Cooper, Garrett",643265,469,108,9,25.4,8.5,0.261,0.415,0.337,0.752,0,0.33,0.341,89.6,39,10.7,8.3,26,18.3,31,5.3,43.7
"118","Machin, Vimael",605353,253,49,1,18.6,9.9,0.22,0.287,0.3,0.587,1,0.268,0.301,89.3,36.3,3.9,7.3,26.3,24,38,0.6,39.1
"119","Hernandez, Cesar",514917,617,139,1,18.5,7.3,0.248,0.318,0.311,0.629,10,0.283,0.29,84.8,33.3,2.4,4.9,26.6,23.9,33.5,8,29.7
"120","Tellez, Rowdy",642133,599,116,35,20.2,10.4,0.219,0.461,0.306,0.767,2,0.327,0.349,91.1,31.4,12.9,7.3,21.4,26,28.7,3.2,46
"121","Garcia, Leury",544725,315,63,3,20.6,2.2,0.21,0.267,0.233,0.5,2,0.221,0.258,87,30,4.2,3.3,25,22.1,40,4.6,35.6
"122","India, Jonathan",663697,431,96,10,21.8,7.2,0.249,0.378,0.327,0.705,3,0.314,0.301,85.1,36,4.8,4.5,26.7,27.4,30.8,5.1,28.8
"123","Bellinger, Cody",641355,550,106,19,27.3,6.9,0.21,0.389,0.265,0.654,14,0.284,0.278,89.4,34.4,8.3,5.8,25.3,35.8,23.3,1.1,38.1
"124","Marsh, Brandon",669016,461,104,11,34.3,6.1,0.245,0.384,0.295,0.679,10,0.296,0.287,89.2,40.8,7.4,7,29.8,21,30.1,4.8,38.2
"125","Hummel, Cooper",669450,201,31,3,31.8,11.4,0.176,0.307,0.274,0.581,4,0.262,0.292,87.6,30.1,7.1,7.1,23.9,22.1,33.6,4.4,35.4
"126","Abrams, CJ",682928,302,70,2,16.6,1.7,0.246,0.324,0.28,0.604,7,0.267,0.266,86.5,28.6,2.1,4.2,23.1,23.1,39.9,6.3,30.7
"127","Naylor, Josh",647304,498,115,20,16.1,7.6,0.256,0.452,0.319,0.771,6,0.331,0.327,89.4,28.9,8.6,6.4,21.9,23.3,35,4.3,42.8
"128","Call, Alex",669743,131,27,5,22.9,11.5,0.237,0.412,0.336,0.748,3,0.332,0.281,86.3,29.8,1.2,6,26.2,34.5,27.4,4.8,31
"129","Walsh, Jared",665120,454,91,15,30.4,5.9,0.215,0.374,0.269,0.643,2,0.278,0.28,90.1,34,9.5,6,24.6,22.5,33.3,4.2,42.5
"130","Diaz, Elias",553869,381,80,9,21.5,6.6,0.228,0.368,0.281,0.649,0,0.284,0.274,88.4,28.3,5.9,5.1,23.2,25.7,35.7,2.6,39.3
"131","LeMahieu, DJ",518934,541,122,12,13.1,12.4,0.261,0.377,0.357,0.734,4,0.329,0.344,89.2,32.8,5.3,6.8,25.8,16.3,42.4,3.3,41.1
"132","Hayes, Ke'Bryan",663647,560,123,7,21.8,8.6,0.244,0.345,0.314,0.659,20,0.294,0.303,91,30.6,3.9,6.2,27.5,21,38.4,1.8,46.8
"133","Murphy, Sean",669221,612,134,18,20.3,9.2,0.25,0.426,0.332,0.758,1,0.331,0.344,88.7,34.7,10.5,6.5,23.2,23.4,32.8,3.6,41.4
"134","Clement, Ernie",676391,179,30,0,14.5,6.1,0.184,0.209,0.243,0.452,0,0.209,0.277,85,27.1,3.6,3.6,21.4,28.6,38.6,4.3,25.7
"135","Arenado, Nolan",571448,620,163,30,11.6,8.4,0.293,0.533,0.358,0.891,5,0.381,0.339,88.8,35.4,8.2,7.8,23.5,36.4,21.5,2.2,38.9
"136","Schwindel, Frank",643524,292,62,8,19.9,6.5,0.229,0.358,0.277,0.635,0,0.278,0.278,88.1,31.6,4.7,7.9,24.7,22.8,37.2,1.9,35.5
"137","Judge, Aaron",592450,696,177,62,25.1,15.9,0.311,0.686,0.425,1.111,16,0.458,0.463,95.9,39,26.5,7.2,20,18.8,26.5,0.5,61.8
"138","Gomes, Yan",543228,293,65,8,16,2.7,0.235,0.365,0.26,0.625,2,0.271,0.287,85.3,37.9,3.4,6,24.3,25.1,34.5,5.5,28.9
"139","Suzuki, Kurt",435559,159,25,4,18.2,9.4,0.18,0.295,0.266,0.561,0,0.254,0.255,85.2,31,3.5,7.1,20.4,39.8,23.9,5.3,26.5
"140","Schoop, Jonathan",570731,510,97,11,21,3.7,0.202,0.322,0.239,0.561,5,0.245,0.268,87,29.1,4.8,6.6,22,23.8,36.8,5,38.6
"141","Gonzalez, Marwin",503556,207,34,6,26.1,6.8,0.185,0.321,0.255,0.576,3,0.257,0.282,88,34.1,5.9,5.9,25.2,29.6,25.9,6.7,37.3
"142","Fletcher, David",664058,228,55,2,7,3.1,0.255,0.333,0.288,0.621,1,0.275,0.295,82.1,41.1,0,0.5,32.2,30.7,29.7,6.4,7.4
"143","Odor, Rougned",596059,472,88,13,23.1,6.8,0.207,0.357,0.275,0.632,6,0.278,0.277,87.8,30.5,6.5,5.6,23.1,36.4,23.1,4.7,33.3
"144","Morel, Christopher",666624,425,89,16,32.2,8.9,0.235,0.433,0.308,0.741,10,0.322,0.324,89.6,30,13.4,5.7,22.3,16.6,34,6.5,40.3
"145","Zavala, Seby",664874,205,48,2,31.2,9.3,0.27,0.382,0.347,0.729,0,0.323,0.283,88.8,41.2,9.2,6.7,26.1,35.3,17.6,4.2,37
"146","Guillorme, Luis",641645,335,81,2,13.7,10.1,0.273,0.34,0.351,0.691,1,0.311,0.302,86.2,35.6,2.4,2.8,30.8,15.4,42.3,6.3,24.9
"147","Bichette, Bo",666182,697,189,24,22.2,5.9,0.29,0.469,0.333,0.802,13,0.347,0.334,91.9,33.3,9.6,7.2,27.1,17.2,35.5,2.4,50.3
"148","Hicks, Aaron",543305,453,83,8,24.1,13.7,0.216,0.313,0.33,0.643,10,0.292,0.303,87.9,25.2,5.8,2.9,26.3,30.9,29.5,4,33.1
"149","Brosseau, Mike",670712,160,36,6,30,8.8,0.255,0.418,0.344,0.762,2,0.338,0.3,89.1,34.4,8.6,9.7,28,23.7,28,2.2,41.9
"150","Candelario, Jeimer",600869,467,93,13,23.3,6,0.217,0.361,0.272,0.633,0,0.277,0.292,87.2,37,8.3,4,21.3,28.4,32.7,4.3,34.6
"151","Freeman, Tyler",671289,86,19,0,12.8,4.7,0.247,0.286,0.314,0.6,1,0.274,0.27,85.9,28.4,1.5,4.5,17.9,26.9,41.8,4.5,26.9
"152","Chang, Yu",644374,190,35,4,31.1,8.4,0.208,0.315,0.289,0.604,0,0.273,0.29,88.8,35.1,9,5.4,19.8,29.7,31.5,4.5,36.9
"153","Frazier, Adam",624428,602,129,3,12.1,7.6,0.238,0.311,0.301,0.612,11,0.274,0.297,85.1,37.7,1.5,4,28.9,28.5,32.8,4.2,24.5
"154","Correa, Carlos",621043,590,152,22,20.5,10.3,0.291,0.467,0.366,0.833,0,0.362,0.363,89.9,35.3,11.4,5.7,25.4,23.7,29.4,4.4,44.7
"155","Mazara, Nomar",608577,171,42,2,23.4,5.8,0.264,0.352,0.316,0.668,0,0.297,0.294,86.1,35.3,4.2,8.4,26.1,30.3,27.7,3.4,32.8
"156","Rivera, Emmanuel",656896,359,77,12,23.1,6.4,0.233,0.409,0.292,0.701,1,0.306,0.31,90.4,32.3,9.3,6,21,23.8,38.3,1.6,38.3
"157","Hernandez, Yadiel",628450,327,82,9,22.6,5.8,0.269,0.41,0.312,0.722,2,0.315,0.31,88.8,35.6,8.6,7.7,28.8,15.5,34.3,3.9,42.1
"158","Dozier, Hunter",641531,500,109,12,25,6.8,0.236,0.387,0.292,0.679,4,0.298,0.301,88.5,33.1,7.7,5,25.4,26,32.2,3,38.5
"159","Andujar, Miguel",609280,140,31,1,19.3,3.6,0.235,0.311,0.257,0.568,4,0.247,0.281,84.4,34.3,3.7,4.6,29.6,25,30.6,5.6,31.5
"160","Goldschmidt, Paul",502671,651,178,35,21.7,12.1,0.317,0.578,0.404,0.982,7,0.419,0.367,90.8,31.8,11.6,9.9,23.8,24.1,26.9,3.3,47.4
"161","Hampson, Garrett",641658,226,42,2,27.9,9.3,0.211,0.307,0.287,0.594,12,0.267,0.261,86.5,29.8,4.3,4.3,18.4,26.2,33.3,11.3,27.7
"162","Duvall, Adam",594807,315,61,12,32.1,6.7,0.213,0.401,0.276,0.677,0,0.295,0.293,88.3,36.2,12.8,7.4,21.3,35.1,19.7,3.7,41
"163","Alonso, Pete",624413,685,162,40,18.7,9.8,0.271,0.518,0.352,0.87,5,0.366,0.353,89.8,34.5,12.3,4.8,23.8,30.1,24.1,4.8,44.8
"164","Profar, Jurickson",595777,658,140,15,15.7,11.1,0.243,0.391,0.331,0.722,5,0.32,0.315,87.5,34.7,4,4.6,28.7,27.8,29.5,4.8,34.3
"165","Massey, Michael",686681,194,42,4,23.7,4.6,0.243,0.376,0.307,0.683,3,0.302,0.332,89.3,35.1,13,4.6,21.4,24.4,26.7,9.2,38.2
"166","Vaughn, Andrew",683734,555,138,17,17.3,5.6,0.271,0.429,0.321,0.75,0,0.327,0.319,90.8,34.1,7.9,10,22.4,17.9,37.2,2.9,48.6
"167","Aranda, Jonathan",666018,87,15,2,26.4,9.2,0.192,0.321,0.276,0.597,0,0.264,0.279,91.1,29.1,7.3,9.1,20,20,41.8,0,45.5
"168","Senzel, Nick",669222,420,86,5,18.1,7.1,0.231,0.306,0.296,0.602,8,0.272,0.299,87.2,35,3.3,5,27.7,24.7,33.3,5.3,33.9
"169","Marisnick, Jake",545350,82,18,2,29.3,4.9,0.234,0.39,0.272,0.662,2,0.283,0.27,88.4,33.3,7.4,7.4,22.2,27.8,18.5,14.8,42.6
"170","Leblanc, Charles",641779,169,41,4,31.4,7.1,0.263,0.404,0.32,0.724,4,0.318,0.285,87.3,36.9,8.7,5.8,23.3,27.2,27.2,7.8,32
"171","d'Arnaud, Travis",518595,426,106,18,21.1,4.5,0.268,0.472,0.319,0.791,0,0.343,0.313,88.5,35,8.5,6.2,22.5,24.8,32.4,4.6,38.9
"172","Thomas, Alek",677950,411,88,8,18,5.4,0.231,0.344,0.275,0.619,4,0.272,0.277,87.4,27.9,3.8,6.4,21.5,17.6,47.1,2.2,34.6
"173","Ruf, Darin",573131,388,68,11,27.1,11.6,0.204,0.338,0.307,0.645,2,0.291,0.31,89.2,34.5,8.6,8.2,23.7,28,26.3,5.2,40.5
"174","Story, Trevor",596115,396,85,16,30.8,8.1,0.238,0.434,0.303,0.737,13,0.316,0.301,88.9,36,11.3,7.1,21.3,31,27.2,2.1,40.6
"175","Taylor, Michael A.",572191,456,105,9,23.9,7.7,0.254,0.357,0.313,0.67,4,0.297,0.289,86.3,33.5,6.8,4.8,21.6,29.4,30.6,6.5,32.9
"176","Adrianza, Ehire",501303,110,17,0,22.7,10,0.175,0.206,0.264,0.47,1,0.222,0.274,84.6,30.1,1.4,1.4,26,24.7,38.4,8.2,21.9
"177","Betts, Mookie",605141,639,154,35,16.3,8.6,0.269,0.533,0.34,0.873,12,0.373,0.344,90.5,36.2,9.7,8.7,22.7,31.8,22.7,3.8,44.9
"178","Vargas, Ildemaro",545121,222,55,4,10.4,3.6,0.263,0.392,0.299,0.691,3,0.302,0.255,87,28.2,2.1,4.3,20.2,27.1,41,5.3,29.3
"179","Duran, Jarren",680776,223,45,3,28.3,6.3,0.221,0.363,0.283,0.646,7,0.284,0.282,89.3,27.5,7.7,5.6,22.5,19,38,7,38
"180","Langeliers, Shea",669127,153,31,6,34.6,5.9,0.218,0.43,0.261,0.691,0,0.296,0.261,87.3,42.9,9.9,6.6,19.8,29.7,27.5,6.6,38.5
"181","Mercado, Oscar",640458,128,25,4,22.7,3.9,0.207,0.372,0.242,0.614,2,0.266,0.258,86.3,33.3,6.5,6.5,19.4,37.6,26.9,3.2,29
"182","Villar, Jonathan",542340,220,42,3,26.8,6.8,0.208,0.302,0.26,0.562,7,0.25,0.247,89.6,24.7,2.7,6.2,24,16.4,43.8,4.1,40.4
"183","Ibanez, Andy",628451,128,26,1,16.4,7,0.218,0.277,0.273,0.55,3,0.249,0.272,88.3,29.6,6.1,8.2,18.4,30.6,33.7,3.1,39.8
"184","Merrifield, Whit",593160,550,126,11,15.5,6.9,0.25,0.375,0.298,0.673,16,0.294,0.288,87.1,37.9,4.2,7.3,23,29.5,30.9,4.9,31.1
"185","Solak, Nick",669256,95,17,3,20,7.4,0.207,0.329,0.309,0.638,3,0.291,0.335,86.7,28.1,7.8,3.1,23.4,18.8,39.1,7.8,34.4
"186","Bryant, Kris",592178,181,49,5,14.9,9.4,0.306,0.475,0.376,0.851,0,0.37,0.344,85,31.9,6.7,3.7,28.1,27.4,28.9,5.2,29.6
"187","Maile, Luke",571912,206,40,3,26.2,9.2,0.221,0.326,0.301,0.627,0,0.281,0.263,84.5,33.8,5.4,6.9,23.8,31.5,26.2,6.2,25.4
"188","Ruiz, Keibert",660688,433,99,7,11.5,6.9,0.251,0.36,0.313,0.673,6,0.299,0.328,88,36.3,3.7,7.5,28.8,26.8,28.8,3.2,32.3
"189","Davis, J.D.",605204,365,79,12,33.4,10.7,0.248,0.418,0.34,0.758,1,0.333,0.351,92.4,34.8,16.2,5.6,26.3,18.7,30.8,2.5,56.1
"190","Dickerson, Corey",572816,297,75,6,16.2,4,0.267,0.399,0.3,0.699,0,0.303,0.293,87.8,32.8,3.8,3.8,27.7,23.8,37.4,2.6,32.8
"191","Neuse, Sheldon",641914,293,58,4,27.3,6.8,0.214,0.288,0.273,0.561,6,0.253,0.254,89.1,23,3.1,2.6,27.7,13.1,49.7,1.6,38.2
"192","Garcia, Aramis",605244,115,23,1,29.6,2.6,0.213,0.259,0.248,0.507,0,0.228,0.247,87.5,35.5,2.6,6.6,28.9,30.3,27.6,3.9,36.8
"193","Canha, Mark",592192,542,123,13,17.9,8.9,0.266,0.403,0.367,0.77,3,0.343,0.323,87.7,32.2,4.9,6.8,23.6,24.9,35.2,4.1,36.6
"194","Carlson, Dylan",666185,488,102,8,19.3,9.2,0.236,0.38,0.316,0.696,5,0.306,0.301,86.1,35.7,4.4,7.3,22.2,29.8,30.7,5,27.2
"195","Rojas, Miguel",500743,507,111,6,12,5.1,0.236,0.323,0.283,0.606,9,0.268,0.293,86.1,33.1,1.9,5.6,28.3,23.9,36.5,3.6,27.1
"196","Lowe, Nathaniel",663993,645,179,27,22.8,7.4,0.302,0.492,0.358,0.85,2,0.368,0.344,90.2,34.1,9.9,5.2,28,18.4,35,3.4,44.8
"197","Cruz Jr., Nelson",443558,507,105,10,23.5,9.7,0.234,0.337,0.313,0.65,4,0.292,0.32,90.9,28,9.3,4.5,25.6,17.2,39.8,2.4,46.1
"198","Buxton, Byron",621439,382,76,28,30.4,8.9,0.224,0.526,0.306,0.832,6,0.356,0.358,92.9,34.2,16.4,7.1,18.7,31.6,23.6,2.7,50.2
"199","Rodgers, Brendan",663898,581,140,13,17.4,7.9,0.266,0.408,0.325,0.733,0,0.321,0.326,90,31.3,7.2,5.6,26.2,17.9,39,3.5,45.9
"200","Delay, Jason",641511,167,33,1,29.9,5.4,0.213,0.271,0.265,0.536,0,0.243,0.23,84.9,31.1,1.9,1.9,27.4,32.1,33,3.8,28.3
"201","Kelly, Carson",608348,354,67,7,20.1,8.2,0.211,0.334,0.282,0.616,2,0.275,0.288,87.7,33.2,5.2,7.2,22.8,30,30,4.4,36.8
"202","Molina, Yadier",425877,270,56,5,14.8,1.9,0.214,0.302,0.233,0.535,2,0.235,0.254,84.7,34.1,3.1,4.9,27.4,31.8,30,2.7,26
"203","Drury, Brandon",592273,568,136,28,22.2,6.7,0.263,0.492,0.32,0.812,2,0.35,0.316,89.1,34.8,10.4,7.3,22,25.5,29.3,4.8,42.2
"204","Herrera, Odubel",546318,197,44,5,21.3,5.6,0.238,0.378,0.279,0.657,6,0.287,0.272,86.9,24.3,4.9,3.5,22.2,20.8,40.3,6.3,37.5
"205","Pinder, Chad",640461,379,85,12,31.1,3.7,0.235,0.385,0.263,0.648,2,0.281,0.28,87.5,33.3,6.5,7.3,26,18.7,35,5.3,40.7
"206","McCormick, Chas",676801,407,88,14,26,11.3,0.245,0.407,0.332,0.739,4,0.326,0.325,88.1,33.5,10.2,4.7,22.8,26.4,30.7,5.1,39
"207","Albies, Ozzie",645277,269,61,8,17.5,5.9,0.247,0.409,0.294,0.703,3,0.305,0.294,87.1,34.8,5.4,6.9,23.5,33.3,28.4,2.5,26.5
"208","Cave, Jake",595909,177,35,5,27.7,6.2,0.213,0.384,0.26,0.644,2,0.278,0.285,90.7,38.5,10.3,9.4,18.8,31.6,27.4,2.6,42.7
"209","Ozuna, Marcell",542303,507,106,23,24.1,6.1,0.226,0.413,0.274,0.687,2,0.298,0.337,89.4,31.8,13.1,4,23.9,28.7,25.6,4.3,43.8
"210","Rutschman, Adley",668939,470,101,13,18.3,13.8,0.254,0.445,0.362,0.807,4,0.354,0.342,87.9,35.6,7.9,6.7,25.4,27.3,27.9,4.8,36.8
"211","Ohtani, Shohei",660271,666,160,34,24.2,10.8,0.273,0.519,0.356,0.875,11,0.37,0.383,92.9,35,16.8,5.6,24.5,19.9,29.9,3,49.8
"212","Witt Jr., Bobby",677951,632,150,20,21.4,4.7,0.254,0.428,0.294,0.722,30,0.311,0.313,89.7,32.5,8.7,4.6,23.6,34.3,26.2,2.2,38.6
"213","McCann, James",543510,191,34,3,24.1,5.8,0.195,0.282,0.257,0.539,3,0.243,0.309,90.2,33.8,6.9,9.2,24.6,29.2,26.2,3.8,40.8
